,Accuracy,AUC,F1,Recall,Precision,AP,TPR,FPR,TNR,FNR
training_CTGAN_4_RF,0.972,0.699,0.104,0.062,0.308,0.086,0.062,0.004,0.996,0.938
training_CTGAN_4_XGB,0.971,0.635,0.1,0.062,0.25,0.072,0.062,0.005,0.995,0.938
holdout_CTGAN_4_LR,0.974,0.601,0.0,0.0,0.0,0.046,0.0,0.0,1.0,1.0
holdout_CTGAN_4_DT,0.946,0.583,0.141,0.172,0.12,0.045,0.172,0.034,0.966,0.828
holdout_CTGAN_4_KNN,0.974,0.594,0.03,0.016,0.5,0.053,0.016,0.0,1.0,0.984
holdout_CTGAN_4_NB,0.882,0.607,0.064,0.156,0.04,0.038,0.156,0.099,0.901,0.844
holdout_CTGAN_4_SVM,0.974,0.642,0.0,0.0,0.0,0.088,0.0,0.0,1.0,1.0
holdout_CTGAN_4_RF,0.971,0.639,0.165,0.109,0.333,0.131,0.109,0.006,0.994,0.891
holdout_CTGAN_4_XGB,0.971,0.627,0.163,0.109,0.318,0.14,0.109,0.006,0.994,0.891
training_CTGAN_5_LR,0.974,0.595,0.0,0.0,0.0,0.039,0.0,0.0,1.0,1.0
training_CTGAN_5_DT,0.952,0.568,0.119,0.125,0.113,0.041,0.125,0.026,0.974,0.875
training_CTGAN_5_KNN,0.973,0.571,0.0,0.0,0.0,0.04,0.0,0.001,0.999,1.0
training_CTGAN_5_NB,0.879,0.579,0.063,0.156,0.039,0.035,0.156,0.101,0.899,0.844
training_CTGAN_5_SVM,0.974,0.583,0.0,0.0,0.0,0.049,0.0,0.0,1.0,1.0
training_CTGAN_5_RF,0.972,0.634,0.104,0.062,0.308,0.083,0.062,0.004,0.996,0.938
training_CTGAN_5_XGB,0.971,0.65,0.122,0.078,0.278,0.073,0.078,0.005,0.995,0.922
holdout_CTGAN_5_LR,0.974,0.602,0.0,0.0,0.0,0.047,0.0,0.0,1.0,1.0
holdout_CTGAN_5_DT,0.942,0.557,0.101,0.125,0.085,0.035,0.125,0.036,0.964,0.875
holdout_CTGAN_5_KNN,0.974,0.603,0.03,0.016,0.333,0.053,0.016,0.001,0.999,0.984
holdout_CTGAN_5_NB,0.877,0.599,0.062,0.156,0.039,0.037,0.156,0.104,0.896,0.844
holdout_CTGAN_5_SVM,0.974,0.655,0.0,0.0,0.0,0.088,0.0,0.0,1.0,1.0
holdout_CTGAN_5_RF,0.971,0.648,0.165,0.109,0.333,0.137,0.109,0.006,0.994,0.891
holdout_CTGAN_5_XGB,0.97,0.649,0.159,0.109,0.292,0.129,0.109,0.007,0.993,0.891
training_CTABGAN_1_LR,0.974,0.639,0.0,0.0,0.0,0.062,0.0,0.0,1.0,1.0
training_CTABGAN_1_DT,0.952,0.546,0.078,0.078,0.078,0.033,0.078,0.025,0.975,0.922
training_CTABGAN_1_KNN,0.973,0.578,0.0,0.0,0.0,0.04,0.0,0.001,0.999,1.0
training_CTABGAN_1_NB,0.118,0.666,0.053,0.953,0.027,0.05,0.953,0.904,0.096,0.047
training_CTABGAN_1_SVM,0.974,0.623,0.0,0.0,0.0,0.071,0.0,0.0,1.0,1.0
training_CTABGAN_1_RF,0.972,0.707,0.104,0.062,0.308,0.091,0.062,0.004,0.996,0.938
training_CTABGAN_1_XGB,0.971,0.632,0.1,0.062,0.25,0.074,0.062,0.005,0.995,0.938
holdout_CTABGAN_1_LR,0.974,0.623,0.0,0.0,0.0,0.064,0.0,0.0,1.0,1.0
holdout_CTABGAN_1_DT,0.95,0.584,0.152,0.172,0.136,0.048,0.172,0.029,0.971,0.828
holdout_CTABGAN_1_KNN,0.973,0.597,0.029,0.016,0.25,0.047,0.016,0.001,0.999,0.984
holdout_CTABGAN_1_NB,0.902,0.642,0.076,0.156,0.05,0.045,0.156,0.079,0.921,0.844
holdout_CTABGAN_1_SVM,0.974,0.638,0.0,0.0,0.0,0.105,0.0,0.0,1.0,1.0
holdout_CTABGAN_1_RF,0.972,0.655,0.167,0.109,0.35,0.141,0.109,0.005,0.995,0.891
holdout_CTABGAN_1_XGB,0.97,0.664,0.161,0.109,0.304,0.148,0.109,0.007,0.993,0.891
training_CTABGAN_2_LR,0.974,0.632,0.0,0.0,0.0,0.05,0.0,0.0,1.0,1.0
training_CTABGAN_2_DT,0.952,0.56,0.105,0.109,0.101,0.038,0.109,0.026,0.974,0.891
training_CTABGAN_2_KNN,0.973,0.584,0.0,0.0,0.0,0.04,0.0,0.001,0.999,1.0
training_CTABGAN_2_NB,0.089,0.646,0.052,0.969,0.027,0.047,0.969,0.935,0.065,0.031
training_CTABGAN_2_SVM,0.974,0.619,0.0,0.0,0.0,0.069,0.0,0.0,1.0,1.0
training_CTABGAN_2_RF,0.972,0.66,0.104,0.062,0.308,0.084,0.062,0.004,0.996,0.938
training_CTABGAN_2_XGB,0.97,0.626,0.099,0.062,0.235,0.064,0.062,0.005,0.995,0.938
holdout_CTABGAN_2_LR,0.974,0.625,0.0,0.0,0.0,0.056,0.0,0.0,1.0,1.0
holdout_CTABGAN_2_DT,0.95,0.577,0.14,0.156,0.127,0.045,0.156,0.029,0.971,0.844
holdout_CTABGAN_2_KNN,0.974,0.596,0.03,0.016,0.333,0.048,0.016,0.001,0.999,0.984
holdout_CTABGAN_2_NB,0.899,0.643,0.081,0.172,0.053,0.044,0.172,0.082,0.918,0.828
holdout_CTABGAN_2_SVM,0.974,0.642,0.0,0.0,0.0,0.099,0.0,0.0,1.0,1.0
holdout_CTABGAN_2_RF,0.972,0.688,0.167,0.109,0.35,0.138,0.109,0.005,0.995,0.891
holdout_CTABGAN_2_XGB,0.971,0.63,0.184,0.125,0.348,0.141,0.125,0.006,0.994,0.875
training_CTABGAN_3_LR,0.974,0.634,0.0,0.0,0.0,0.051,0.0,0.0,1.0,1.0
training_CTABGAN_3_DT,0.947,0.551,0.085,0.094,0.077,0.033,0.094,0.03,0.97,0.906
training_CTABGAN_3_KNN,0.973,0.583,0.0,0.0,0.0,0.037,0.0,0.001,0.999,1.0
training_CTABGAN_3_NB,0.071,0.65,0.051,0.969,0.026,0.048,0.969,0.953,0.047,0.031
training_CTABGAN_3_SVM,0.974,0.61,0.0,0.0,0.0,0.066,0.0,0.0,1.0,1.0
training_CTABGAN_3_RF,0.972,0.7,0.104,0.062,0.308,0.084,0.062,0.004,0.996,0.938
training_CTABGAN_3_XGB,0.971,0.65,0.101,0.062,0.267,0.073,0.062,0.005,0.995,0.938
holdout_CTABGAN_3_LR,0.974,0.625,0.0,0.0,0.0,0.057,0.0,0.0,1.0,1.0
holdout_CTABGAN_3_DT,0.949,0.576,0.124,0.141,0.111,0.042,0.141,0.03,0.97,0.859
holdout_CTABGAN_3_KNN,0.974,0.596,0.03,0.016,0.333,0.049,0.016,0.001,0.999,0.984
holdout_CTABGAN_3_NB,0.904,0.64,0.078,0.156,0.052,0.045,0.156,0.077,0.923,0.844
holdout_CTABGAN_3_SVM,0.974,0.649,0.0,0.0,0.0,0.102,0.0,0.0,1.0,1.0
holdout_CTABGAN_3_RF,0.971,0.634,0.165,0.109,0.333,0.133,0.109,0.006,0.994,0.891
holdout_CTABGAN_3_XGB,0.972,0.665,0.186,0.125,0.364,0.156,0.125,0.006,0.994,0.875
training_CTABGAN_4_LR,0.974,0.634,0.0,0.0,0.0,0.05,0.0,0.0,1.0,1.0
training_CTABGAN_4_DT,0.955,0.546,0.083,0.078,0.088,0.034,0.078,0.022,0.978,0.922
training_CTABGAN_4_KNN,0.973,0.585,0.0,0.0,0.0,0.041,0.0,0.001,0.999,1.0
training_CTABGAN_4_NB,0.07,0.652,0.051,0.969,0.026,0.048,0.969,0.954,0.046,0.031
training_CTABGAN_4_SVM,0.974,0.62,0.0,0.0,0.0,0.073,0.0,0.0,1.0,1.0
training_CTABGAN_4_RF,0.972,0.654,0.104,0.062,0.308,0.081,0.062,0.004,0.996,0.938
training_CTABGAN_4_XGB,0.972,0.635,0.103,0.062,0.286,0.08,0.062,0.004,0.996,0.938
holdout_CTABGAN_4_LR,0.974,0.625,0.0,0.0,0.0,0.053,0.0,0.0,1.0,1.0
holdout_CTABGAN_4_DT,0.951,0.585,0.142,0.156,0.13,0.047,0.156,0.028,0.972,0.844
holdout_CTABGAN_4_KNN,0.974,0.589,0.03,0.016,0.5,0.05,0.016,0.0,1.0,0.984
holdout_CTABGAN_4_NB,0.911,0.64,0.083,0.156,0.057,0.045,0.156,0.069,0.931,0.844
holdout_CTABGAN_4_SVM,0.974,0.654,0.0,0.0,0.0,0.103,0.0,0.0,1.0,1.0
holdout_CTABGAN_4_RF,0.972,0.666,0.167,0.109,0.35,0.141,0.109,0.005,0.995,0.891
holdout_CTABGAN_4_XGB,0.972,0.649,0.188,0.125,0.381,0.15,0.125,0.005,0.995,0.875
training_CTABGAN_5_LR,0.974,0.628,0.0,0.0,0.0,0.047,0.0,0.0,1.0,1.0
training_CTABGAN_5_DT,0.951,0.546,0.076,0.078,0.075,0.033,0.078,0.026,0.974,0.922
training_CTABGAN_5_KNN,0.973,0.586,0.0,0.0,0.0,0.039,0.0,0.001,0.999,1.0
training_CTABGAN_5_NB,0.069,0.653,0.051,0.969,0.026,0.048,0.969,0.955,0.045,0.031
training_CTABGAN_5_SVM,0.974,0.605,0.0,0.0,0.0,0.07,0.0,0.0,1.0,1.0
training_CTABGAN_5_RF,0.972,0.656,0.104,0.062,0.308,0.083,0.062,0.004,0.996,0.938
training_CTABGAN_5_XGB,0.972,0.609,0.103,0.062,0.286,0.073,0.062,0.004,0.996,0.938
holdout_CTABGAN_5_LR,0.974,0.62,0.0,0.0,0.0,0.051,0.0,0.0,1.0,1.0
holdout_CTABGAN_5_DT,0.947,0.568,0.108,0.125,0.095,0.038,0.125,0.032,0.968,0.875
holdout_CTABGAN_5_KNN,0.974,0.598,0.03,0.016,0.5,0.052,0.016,0.0,1.0,0.984
holdout_CTABGAN_5_NB,0.917,0.64,0.089,0.156,0.062,0.045,0.156,0.062,0.938,0.844
holdout_CTABGAN_5_SVM,0.974,0.642,0.0,0.0,0.0,0.099,0.0,0.0,1.0,1.0
holdout_CTABGAN_5_RF,0.971,0.693,0.165,0.109,0.333,0.135,0.109,0.006,0.994,0.891
holdout_CTABGAN_5_XGB,0.972,0.634,0.167,0.109,0.35,0.149,0.109,0.005,0.995,0.891
training_TVAE_1_LR,0.974,0.662,0.0,0.0,0.0,0.062,0.0,0.0,1.0,1.0
training_TVAE_1_DT,0.949,0.543,0.073,0.078,0.068,0.032,0.078,0.028,0.972,0.922
training_TVAE_1_KNN,0.973,0.574,0.0,0.0,0.0,0.041,0.0,0.001,0.999,1.0
training_TVAE_1_NB,0.072,0.676,0.051,0.969,0.026,0.054,0.969,0.952,0.048,0.031
training_TVAE_1_SVM,0.974,0.634,0.0,0.0,0.0,0.068,0.0,0.0,1.0,1.0
training_TVAE_1_RF,0.972,0.708,0.103,0.062,0.286,0.086,0.062,0.004,0.996,0.938
training_TVAE_1_XGB,0.97,0.684,0.12,0.078,0.263,0.093,0.078,0.006,0.994,0.922
holdout_TVAE_1_LR,0.974,0.64,0.0,0.0,0.0,0.066,0.0,0.0,1.0,1.0
holdout_TVAE_1_DT,0.952,0.569,0.131,0.141,0.123,0.042,0.141,0.027,0.973,0.859
holdout_TVAE_1_KNN,0.974,0.613,0.03,0.016,0.5,0.056,0.016,0.0,1.0,0.984
holdout_TVAE_1_NB,0.929,0.659,0.074,0.109,0.056,0.053,0.109,0.05,0.95,0.891
holdout_TVAE_1_SVM,0.974,0.646,0.0,0.0,0.0,0.103,0.0,0.0,1.0,1.0
holdout_TVAE_1_RF,0.972,0.669,0.167,0.109,0.35,0.133,0.109,0.005,0.995,0.891
holdout_TVAE_1_XGB,0.971,0.668,0.163,0.109,0.318,0.146,0.109,0.006,0.994,0.891
training_TVAE_2_LR,0.974,0.66,0.0,0.0,0.0,0.061,0.0,0.0,1.0,1.0
training_TVAE_2_DT,0.947,0.55,0.085,0.094,0.077,0.033,0.094,0.03,0.97,0.906
training_TVAE_2_KNN,0.974,0.577,0.0,0.0,0.0,0.039,0.0,0.0,1.0,1.0
training_TVAE_2_NB,0.072,0.678,0.051,0.969,0.026,0.056,0.969,0.952,0.048,0.031
training_TVAE_2_SVM,0.974,0.632,0.0,0.0,0.0,0.066,0.0,0.0,1.0,1.0
training_TVAE_2_RF,0.972,0.702,0.104,0.062,0.308,0.09,0.062,0.004,0.996,0.938
training_TVAE_2_XGB,0.97,0.66,0.12,0.078,0.263,0.085,0.078,0.006,0.994,0.922
holdout_TVAE_2_LR,0.974,0.636,0.0,0.0,0.0,0.065,0.0,0.0,1.0,1.0
holdout_TVAE_2_DT,0.95,0.568,0.127,0.141,0.115,0.041,0.141,0.029,0.971,0.859
holdout_TVAE_2_KNN,0.974,0.593,0.03,0.016,0.5,0.056,0.016,0.0,1.0,0.984
holdout_TVAE_2_NB,0.946,0.66,0.056,0.062,0.051,0.059,0.062,0.031,0.969,0.938
holdout_TVAE_2_SVM,0.974,0.64,0.0,0.0,0.0,0.102,0.0,0.0,1.0,1.0
holdout_TVAE_2_RF,0.972,0.681,0.169,0.109,0.368,0.141,0.109,0.005,0.995,0.891
holdout_TVAE_2_XGB,0.972,0.654,0.169,0.109,0.368,0.157,0.109,0.005,0.995,0.891
training_TVAE_3_LR,0.974,0.652,0.0,0.0,0.0,0.06,0.0,0.0,1.0,1.0
training_TVAE_3_DT,0.95,0.537,0.061,0.062,0.059,0.03,0.062,0.027,0.973,0.938
training_TVAE_3_KNN,0.974,0.578,0.03,0.016,0.5,0.045,0.016,0.0,1.0,0.984
training_TVAE_3_NB,0.07,0.678,0.051,0.969,0.026,0.056,0.969,0.954,0.046,0.031
training_TVAE_3_SVM,0.974,0.624,0.0,0.0,0.0,0.063,0.0,0.0,1.0,1.0
training_TVAE_3_RF,0.972,0.71,0.104,0.062,0.308,0.088,0.062,0.004,0.996,0.938
training_TVAE_3_XGB,0.97,0.645,0.098,0.062,0.222,0.081,0.062,0.006,0.994,0.938
holdout_TVAE_3_LR,0.974,0.632,0.0,0.0,0.0,0.065,0.0,0.0,1.0,1.0
holdout_TVAE_3_DT,0.951,0.562,0.116,0.125,0.108,0.039,0.125,0.027,0.973,0.875
holdout_TVAE_3_KNN,0.974,0.6,0.03,0.016,0.5,0.051,0.016,0.0,1.0,0.984
holdout_TVAE_3_NB,0.963,0.657,0.042,0.031,0.062,0.061,0.031,0.012,0.988,0.969
holdout_TVAE_3_SVM,0.974,0.637,0.0,0.0,0.0,0.101,0.0,0.0,1.0,1.0
holdout_TVAE_3_RF,0.972,0.684,0.171,0.109,0.389,0.14,0.109,0.005,0.995,0.891
holdout_TVAE_3_XGB,0.972,0.681,0.167,0.109,0.35,0.148,0.109,0.005,0.995,0.891
training_TVAE_4_LR,0.974,0.646,0.0,0.0,0.0,0.059,0.0,0.0,1.0,1.0
training_TVAE_4_DT,0.949,0.551,0.073,0.078,0.068,0.033,0.078,0.028,0.972,0.922
training_TVAE_4_KNN,0.974,0.578,0.03,0.016,0.5,0.046,0.016,0.0,1.0,0.984
training_TVAE_4_NB,0.07,0.675,0.051,0.969,0.026,0.054,0.969,0.954,0.046,0.031
training_TVAE_4_SVM,0.974,0.621,0.0,0.0,0.0,0.063,0.0,0.0,1.0,1.0
training_TVAE_4_RF,0.972,0.701,0.104,0.062,0.308,0.088,0.062,0.004,0.996,0.938
training_TVAE_4_XGB,0.971,0.655,0.101,0.062,0.267,0.081,0.062,0.005,0.995,0.938
holdout_TVAE_4_LR,0.974,0.628,0.0,0.0,0.0,0.064,0.0,0.0,1.0,1.0
holdout_TVAE_4_DT,0.949,0.569,0.125,0.141,0.112,0.041,0.141,0.03,0.97,0.859
holdout_TVAE_4_KNN,0.974,0.587,0.03,0.016,0.5,0.052,0.016,0.0,1.0,0.984
holdout_TVAE_4_NB,0.968,0.655,0.07,0.047,0.136,0.061,0.047,0.008,0.992,0.953
holdout_TVAE_4_SVM,0.974,0.635,0.0,0.0,0.0,0.099,0.0,0.0,1.0,1.0
holdout_TVAE_4_RF,0.972,0.72,0.169,0.109,0.368,0.141,0.109,0.005,0.995,0.891
holdout_TVAE_4_XGB,0.972,0.666,0.167,0.109,0.35,0.15,0.109,0.005,0.995,0.891
training_TVAE_5_LR,0.974,0.644,0.0,0.0,0.0,0.058,0.0,0.0,1.0,1.0
training_TVAE_5_DT,0.959,0.565,0.122,0.109,0.137,0.043,0.109,0.018,0.982,0.891
training_TVAE_5_KNN,0.974,0.58,0.03,0.016,0.5,0.046,0.016,0.0,1.0,0.984
training_TVAE_5_NB,0.062,0.673,0.052,1.0,0.027,0.053,1.0,0.963,0.037,0.0
training_TVAE_5_SVM,0.974,0.63,0.0,0.0,0.0,0.063,0.0,0.0,1.0,1.0
training_TVAE_5_RF,0.972,0.712,0.103,0.062,0.286,0.092,0.062,0.004,0.996,0.938
training_TVAE_5_XGB,0.971,0.673,0.1,0.062,0.25,0.082,0.062,0.005,0.995,0.938
holdout_TVAE_5_LR,0.974,0.626,0.0,0.0,0.0,0.063,0.0,0.0,1.0,1.0
holdout_TVAE_5_DT,0.956,0.581,0.156,0.156,0.156,0.051,0.156,0.022,0.978,0.844
holdout_TVAE_5_KNN,0.974,0.595,0.0,0.0,0.0,0.049,0.0,0.0,1.0,1.0
holdout_TVAE_5_NB,0.968,0.653,0.071,0.047,0.143,0.06,0.047,0.007,0.993,0.953
holdout_TVAE_5_SVM,0.974,0.646,0.0,0.0,0.0,0.097,0.0,0.0,1.0,1.0
holdout_TVAE_5_RF,0.972,0.721,0.171,0.109,0.389,0.142,0.109,0.005,0.995,0.891
holdout_TVAE_5_XGB,0.971,0.67,0.163,0.109,0.318,0.15,0.109,0.006,0.994,0.891
training_DS_1_LR,0.974,0.652,0.0,0.0,0.0,0.062,0.0,0.0,1.0,1.0
training_DS_1_DT,0.953,0.554,0.08,0.078,0.082,0.035,0.078,0.023,0.977,0.922
training_DS_1_KNN,0.973,0.571,0.0,0.0,0.0,0.04,0.0,0.001,0.999,1.0
training_DS_1_NB,0.07,0.671,0.051,0.969,0.026,0.049,0.969,0.954,0.046,0.031
training_DS_1_SVM,0.974,0.622,0.0,0.0,0.0,0.065,0.0,0.0,1.0,1.0
training_DS_1_RF,0.972,0.693,0.104,0.062,0.308,0.091,0.062,0.004,0.996,0.938
training_DS_1_XGB,0.97,0.645,0.099,0.062,0.235,0.077,0.062,0.005,0.995,0.938
holdout_DS_1_LR,0.974,0.633,0.0,0.0,0.0,0.05,0.0,0.0,1.0,1.0
holdout_DS_1_DT,0.953,0.57,0.133,0.141,0.127,0.043,0.141,0.026,0.974,0.859
holdout_DS_1_KNN,0.974,0.595,0.03,0.016,0.5,0.049,0.016,0.0,1.0,0.984
holdout_DS_1_NB,0.905,0.651,0.079,0.156,0.053,0.048,0.156,0.075,0.925,0.844
holdout_DS_1_SVM,0.974,0.643,0.0,0.0,0.0,0.1,0.0,0.0,1.0,1.0
holdout_DS_1_RF,0.972,0.672,0.169,0.109,0.368,0.141,0.109,0.005,0.995,0.891
holdout_DS_1_XGB,0.971,0.658,0.163,0.109,0.318,0.16,0.109,0.006,0.994,0.891
training_DS_2_LR,0.974,0.644,0.0,0.0,0.0,0.06,0.0,0.0,1.0,1.0
training_DS_2_DT,0.944,0.55,0.068,0.078,0.06,0.032,0.078,0.032,0.968,0.922
training_DS_2_KNN,0.972,0.565,0.0,0.0,0.0,0.039,0.0,0.002,0.998,1.0
training_DS_2_NB,0.062,0.669,0.052,1.0,0.027,0.049,1.0,0.963,0.037,0.0
training_DS_2_SVM,0.974,0.622,0.0,0.0,0.0,0.064,0.0,0.0,1.0,1.0
training_DS_2_RF,0.972,0.669,0.105,0.062,0.333,0.086,0.062,0.003,0.997,0.938
training_DS_2_XGB,0.97,0.654,0.098,0.062,0.222,0.083,0.062,0.006,0.994,0.938
holdout_DS_2_LR,0.974,0.63,0.0,0.0,0.0,0.051,0.0,0.0,1.0,1.0
holdout_DS_2_DT,0.957,0.581,0.159,0.156,0.161,0.051,0.156,0.022,0.978,0.844
holdout_DS_2_KNN,0.974,0.579,0.03,0.016,0.333,0.043,0.016,0.001,0.999,0.984
holdout_DS_2_NB,0.906,0.648,0.079,0.156,0.053,0.047,0.156,0.074,0.926,0.844
holdout_DS_2_SVM,0.974,0.655,0.0,0.0,0.0,0.101,0.0,0.0,1.0,1.0
holdout_DS_2_RF,0.971,0.676,0.165,0.109,0.333,0.144,0.109,0.006,0.994,0.891
holdout_DS_2_XGB,0.971,0.675,0.165,0.109,0.333,0.149,0.109,0.006,0.994,0.891
training_DS_3_LR,0.974,0.641,0.0,0.0,0.0,0.059,0.0,0.0,1.0,1.0
training_DS_3_DT,0.947,0.567,0.11,0.125,0.098,0.039,0.125,0.031,0.969,0.875
training_DS_3_KNN,0.973,0.566,0.0,0.0,0.0,0.039,0.0,0.001,0.999,1.0
training_DS_3_NB,0.081,0.667,0.052,0.969,0.027,0.049,0.969,0.942,0.058,0.031
training_DS_3_SVM,0.974,0.627,0.0,0.0,0.0,0.065,0.0,0.0,1.0,1.0
training_DS_3_RF,0.972,0.68,0.104,0.062,0.308,0.091,0.062,0.004,0.996,0.938
training_DS_3_XGB,0.971,0.661,0.1,0.062,0.25,0.079,0.062,0.005,0.995,0.938
