age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,creat_type_cd,slot_id,u_refreshTimes_x,u_feedLifeCycle_x,u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle_y,u_refreshTimes_y,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label_y,cillabel,pro,label_x
3,2,21,417,5,32,2,19,257,2111,8,41,2,14,16,17,10,17,8,-17,209,7,2,10,19,438,5,1,1,-1,-1,0,0
2,2,17,155,3,19,7,21,298,1523,8,50,7,17,14,17,10,17,8,1506,109,0,2,13,19,1304,10,1,1,-1,-1,40,0
5,4,13,432,4,16,5,21,93,2615,8,40,6,17,14,17,14,17,4,-6,209,0,0,13,19,535,9,4,1,-1,-1,101,0
8,2,26,111,4,24,6,27,123,1488,8,15,2,17,16,17,13,16,8,-3,24,0,9,14,19,1190,17,7,1,-1,-1,0,0
3,3,33,108,5,16,5,29,123,2427,8,38,8,17,14,17,14,17,6,2337,125,0,0,13,19,956,7,1,0,-1,-1,0,0
3,2,44,241,5,17,3,21,290,1683,8,48,9,17,14,17,14,17,9,-17,99,0,0,11,19,452,2,1,0,-1,-1,0,0
3,2,21,167,4,19,7,20,194,1177,8,15,0,16,15,16,16,16,0,770,143,1,2,13,19,601,1,5,1,-1,-1,0,0
7,2,33,325,2,35,2,20,203,2094,8,52,4,17,16,17,13,17,7,-1,67,7,9,11,19,177,6,1,1,-1,-1,0,0
7,2,34,143,5,34,4,20,364,2094,8,55,7,11,16,16,13,10,0,4,28,8,9,11,19,1386,6,1,1,-1,-1,0,0
2,2,18,199,3,20,5,28,155,2391,8,55,0,11,13,15,15,17,8,-8,215,2,6,11,19,876,4,1,0,-1,-1,0,0
2,2,41,364,2,24,5,20,190,2407,8,42,6,17,10,17,15,17,5,6,209,9,6,11,19,1411,9,1,1,-1,-1,0,0
5,2,27,275,2,34,2,32,261,1007,5,41,6,16,15,16,15,11,5,-7,21,0,8,13,19,667,6,1,1,-1,-1,0,0
2,2,44,357,2,17,7,20,130,1082,8,50,6,17,16,17,14,17,5,-7,205,4,2,11,19,1180,11,1,0,-1,-1,0,1
2,2,17,397,2,17,5,32,160,1564,8,11,4,17,14,17,14,17,5,2136,201,2,9,11,16,1030,3,1,0,-1,-1,69,0
7,2,27,359,5,16,8,12,226,2417,8,6,6,17,14,17,14,17,4,1403,75,1,0,10,19,464,4,1,0,1,-1,19,0
3,2,30,109,5,16,6,20,336,2354,8,51,7,17,10,17,13,17,6,7,169,0,9,11,19,16,9,2,1,1,-1,0,0
8,4,27,257,4,34,7,30,160,2395,8,53,2,16,16,17,11,13,6,-2,99,7,9,11,11,261,7,1,1,-1,-1,0,0
4,3,26,320,4,17,5,30,205,2105,8,56,0,17,16,17,15,17,8,-9,62,7,9,14,19,621,7,1,0,-1,-1,0,0
8,2,14,143,2,31,5,29,347,2116,8,54,0,16,16,16,15,10,0,-7,101,2,9,13,19,1056,6,1,0,-1,-1,0,0
2,2,14,150,2,16,7,20,230,2119,8,39,4,17,10,17,14,17,0,-18,71,0,0,10,19,428,8,5,0,1,-1,101,0
3,2,27,337,2,16,5,21,275,2145,8,24,9,17,10,17,14,17,9,2148,207,0,4,13,19,583,7,5,0,1,-1,0,0
5,4,26,105,2,24,7,20,121,2392,8,52,6,11,16,17,13,17,8,1372,98,0,9,11,19,1118,9,1,0,1,-1,0,0
7,2,31,323,5,19,3,20,191,2105,8,48,5,10,16,17,15,11,0,0,96,0,2,10,19,551,6,1,1,-1,-1,0,0
3,2,30,154,2,27,6,32,317,2091,8,53,6,11,15,17,15,16,4,-2,99,0,0,13,19,662,2,9,0,1,-1,0,0
7,2,17,143,3,16,5,30,277,2147,8,23,9,17,10,17,14,17,9,2578,202,0,0,11,19,322,10,3,0,-1,-1,0,0
7,2,26,247,5,16,5,20,235,2199,8,43,7,17,16,17,11,17,8,-22,73,1,9,11,19,1412,2,1,1,-1,-1,0,0
8,2,20,277,3,13,5,13,121,1295,8,54,9,17,14,17,13,17,4,1419,209,0,0,13,19,354,9,1,0,-1,-1,0,0
7,2,34,358,3,17,5,29,126,2130,8,20,6,17,16,17,14,17,4,-12,24,0,0,13,19,979,7,11,0,-1,-1,68,0
3,2,21,294,3,17,4,22,231,2427,8,9,8,17,10,17,11,17,2,-8,107,0,9,11,19,1027,6,1,0,-1,-1,97,0
5,2,27,202,2,17,5,13,169,2495,8,53,9,17,10,17,14,17,9,279,24,0,0,13,19,1425,9,2,0,-1,-1,75,0
7,2,26,307,2,16,4,30,271,1454,8,54,8,17,16,16,15,10,0,1026,49,0,7,11,3,1170,2,1,1,1,-1,0,0
5,2,43,311,3,17,7,20,205,2111,8,57,2,11,16,17,11,17,5,7,97,0,9,10,19,679,1,1,1,-1,-1,0,0
7,2,43,414,5,16,7,21,185,2149,8,39,9,17,14,17,14,17,9,-4,112,0,0,13,19,526,7,3,0,1,-1,0,0
3,4,42,381,4,22,5,29,126,1585,8,16,9,17,10,17,14,17,8,2495,77,0,0,13,11,1253,2,2,0,1,-1,0,0
5,4,44,371,5,17,7,21,350,2409,8,36,4,17,10,17,14,17,4,-18,107,0,9,11,19,759,7,10,0,1,-1,0,0
7,2,30,291,2,24,6,30,133,1747,8,71,0,11,16,17,11,13,0,881,199,0,9,11,19,293,6,1,1,-1,-1,0,0
6,2,29,369,5,17,3,21,320,2134,8,10,0,17,10,17,13,17,7,650,202,8,0,13,11,528,7,2,0,-1,-1,40,0
3,3,33,177,4,16,5,33,134,2269,8,49,9,17,16,17,13,17,4,-14,99,9,0,11,19,922,13,4,0,-1,-1,102,0
4,2,34,179,2,19,2,32,363,2199,8,53,9,11,16,16,10,13,9,288,98,0,2,11,19,1430,11,1,0,-1,-1,0,1
2,2,21,387,5,16,5,13,129,2150,8,54,9,17,16,17,14,17,9,-2,208,0,0,11,19,759,7,1,0,-1,-1,0,0
5,2,45,365,4,16,2,20,199,1563,8,58,6,17,14,17,14,17,8,-2,97,1,4,13,19,241,4,1,0,-1,-1,0,0
2,2,25,328,2,32,6,29,128,2358,8,55,6,17,16,17,15,17,5,5,94,1,2,11,19,197,6,4,0,-1,-1,99,0
7,2,27,161,4,34,6,28,132,2109,8,14,0,17,15,16,17,16,0,5,202,9,8,13,19,954,2,1,1,-1,-1,0,0
5,2,27,257,2,20,2,23,236,1810,8,52,4,17,16,17,15,17,2,2377,46,4,0,11,11,126,7,28,0,-1,-1,98,0
8,2,27,241,2,31,4,19,135,2111,8,64,0,16,15,16,11,16,0,-1,115,0,8,11,19,204,10,1,1,-1,-1,0,0
5,3,21,314,4,33,7,20,269,2107,8,37,0,16,15,16,16,16,0,-14,205,0,0,13,19,853,6,3,1,-1,-1,0,0
9,2,33,173,3,27,7,32,119,2404,8,42,2,17,16,17,14,15,5,-1,174,4,9,11,19,48,14,1,0,-1,-1,0,1
9,2,27,150,2,16,7,19,136,1105,8,18,8,16,15,16,15,17,0,1626,174,1,0,11,19,866,13,1,0,-1,-1,0,0
5,2,33,247,2,34,7,19,205,1420,8,39,0,16,13,16,16,16,0,1,100,7,0,11,19,919,6,1,0,-1,-1,0,0
7,2,21,136,5,16,4,27,202,2448,8,48,2,16,16,16,17,10,0,13,207,0,8,11,19,588,17,1,0,-1,-1,0,0
7,2,44,98,3,34,7,20,159,2401,8,25,7,11,16,17,15,11,7,-19,102,9,1,13,19,579,7,1,1,1,-1,0,0
5,2,22,180,2,15,7,19,292,2110,8,55,0,16,15,16,16,16,0,-2,77,0,8,13,19,697,6,9,1,-1,-1,0,0
6,2,17,166,5,16,5,11,161,1923,8,14,8,17,10,17,11,17,9,-6,74,1,0,11,11,20,4,2,0,-1,-1,0,0
3,2,29,234,5,17,7,21,290,1902,5,24,9,17,14,17,14,17,9,2467,79,6,8,13,19,971,5,1,0,-1,-1,0,0
7,2,21,157,3,17,6,16,226,2196,8,67,5,14,13,17,14,17,7,2278,172,1,2,11,19,909,10,1,0,1,-1,0,0
5,2,42,404,2,32,5,21,284,2376,8,30,4,17,10,17,15,17,7,4,223,0,2,13,19,998,7,1,0,-1,-1,0,0
7,2,14,344,4,34,3,21,373,1151,8,50,5,17,14,17,14,17,9,-9,70,0,9,13,4,238,6,1,0,-1,-1,0,0
8,2,27,313,3,16,5,21,131,1564,8,36,3,17,14,17,14,17,5,2275,0,0,3,11,19,1036,7,1,0,-1,-1,101,0
7,2,25,274,4,17,6,12,323,1733,8,52,2,17,16,17,14,17,4,-3,81,4,0,11,19,906,6,1,0,1,-1,100,0
7,2,27,370,2,31,5,13,334,2419,8,8,7,17,14,17,14,17,2,-16,198,7,9,13,19,970,11,1,0,-1,-1,0,0
2,2,34,318,2,23,8,20,112,2523,8,43,7,17,14,17,15,17,6,-15,58,1,7,13,19,456,9,1,0,-1,-1,0,0
4,2,17,156,5,16,2,28,149,2201,8,54,6,17,14,17,13,17,6,1291,8,2,9,11,19,505,5,2,0,-1,-1,0,0
3,2,27,238,2,17,4,11,91,1914,8,49,9,17,14,17,13,17,7,2344,23,0,0,11,19,1521,10,3,0,-1,-1,0,0
7,3,33,111,2,32,6,29,329,1522,8,56,2,17,16,17,11,11,4,1,69,7,7,11,19,542,7,11,0,-1,-1,0,0
9,2,33,305,5,17,5,22,195,1865,8,18,9,17,16,17,14,17,4,-12,206,0,0,11,19,557,7,5,0,-1,-1,0,0
6,3,34,299,3,17,5,11,133,2126,8,56,5,17,10,17,14,17,5,-3,107,0,0,13,11,1160,6,1,0,-1,-1,0,0
5,2,21,151,4,33,5,19,140,2417,8,54,0,16,15,16,16,16,0,-29,25,0,8,13,19,564,7,6,1,1,-1,0,0
6,2,41,179,2,31,7,17,191,2470,8,39,4,17,10,17,13,17,9,-5,170,4,9,13,19,779,7,2,0,1,-1,100,0
8,3,34,403,5,17,2,10,248,2469,8,37,7,17,10,17,14,17,9,-3,69,0,5,13,11,1247,7,4,0,-1,-1,-1,0
2,2,21,321,5,16,5,34,352,1956,8,36,9,17,10,17,14,17,9,2664,209,0,0,13,19,1096,10,2,0,-1,-1,0,0
3,4,17,347,2,15,5,13,172,2112,8,43,6,17,10,17,14,17,7,2491,72,9,0,11,19,900,19,1,0,-1,-1,0,0
8,2,34,111,2,33,5,20,350,2096,8,63,8,17,16,17,14,11,2,3,16,7,9,11,19,1424,15,1,1,-1,-1,0,0
7,2,25,391,2,16,6,21,96,1844,8,53,9,17,14,17,14,17,9,241,175,0,0,13,16,960,9,2,1,-1,-1,0,0
7,2,44,163,5,17,5,12,126,2559,8,57,5,17,14,17,14,17,7,-19,37,0,9,11,19,325,5,1,1,-1,-1,0,0
8,2,45,190,2,34,2,20,334,1443,8,42,6,17,14,17,13,17,6,244,173,0,9,11,19,610,6,1,0,-1,-1,100,0
7,2,34,140,2,16,7,20,197,1791,8,20,0,17,15,17,11,17,7,4,39,9,9,13,19,1098,6,1,0,-1,-1,0,0
7,2,21,406,2,24,6,20,191,2103,8,15,0,16,15,16,13,16,0,-6,169,0,9,13,19,637,6,1,0,-1,-1,0,0
9,2,34,122,2,22,6,11,239,1808,8,18,8,17,10,17,13,17,5,-16,105,7,9,13,19,1142,9,1,0,-1,-1,0,0
5,3,21,283,2,33,5,20,230,1432,8,52,2,17,16,17,13,15,6,-10,163,1,2,13,11,-23,7,1,1,1,-1,0,0
2,2,21,418,2,16,3,12,235,2468,8,40,5,17,16,17,14,17,5,-9,96,0,2,13,19,1100,2,1,1,-1,-1,76,1
7,2,34,155,2,34,6,19,227,2110,8,18,0,16,15,16,16,16,0,907,84,0,9,13,19,600,6,6,1,-1,-1,0,0
5,2,21,352,2,16,7,20,324,2499,8,54,0,16,15,16,17,16,0,718,18,9,4,10,11,1045,2,1,0,-1,-1,0,0
5,2,27,254,2,16,5,21,93,1885,8,51,2,17,14,17,13,17,7,-16,207,0,9,13,19,484,6,1,0,-1,-1,0,0
7,2,16,179,3,17,6,9,129,2458,8,51,9,17,10,17,14,17,9,2505,198,9,0,13,19,649,7,8,0,-1,-1,0,0
5,2,44,241,4,16,4,20,154,2111,8,52,7,17,10,17,13,17,2,-3,95,0,9,10,19,981,11,7,0,-1,-1,0,0
3,2,25,235,2,17,5,33,219,2412,8,27,8,17,10,17,14,17,6,-4,20,9,0,11,19,98,10,1,0,-1,-1,0,0
5,4,18,394,2,18,4,10,287,2477,8,35,9,17,10,17,14,17,9,-15,110,0,0,13,16,1226,10,4,0,1,-1,98,0
2,2,30,358,2,31,7,20,164,2483,5,52,0,16,15,16,13,16,0,-1,195,0,2,13,19,588,6,1,1,-1,-1,0,0
7,4,25,179,5,17,5,11,193,2548,8,56,5,17,10,17,14,17,5,2430,98,9,0,11,19,766,5,2,0,-1,-1,0,0
8,2,26,131,2,17,5,20,282,2056,8,49,2,17,16,17,14,17,8,0,203,2,0,10,19,339,11,6,0,1,-1,99,0
5,2,18,153,2,19,7,19,166,2115,8,59,0,16,15,16,16,16,0,-20,108,1,2,13,19,628,6,8,0,-1,-1,0,0
5,2,34,327,4,34,6,28,220,1451,8,52,0,16,16,16,13,10,0,-1,100,0,9,13,19,284,6,1,0,-1,-1,0,0
4,2,26,161,5,16,2,13,348,1551,8,53,4,17,14,17,14,17,7,1,209,1,0,11,19,302,9,2,0,-1,-1,0,0
3,2,33,444,2,16,6,23,212,2080,8,53,7,17,10,17,14,17,9,2440,169,0,2,13,4,198,5,1,0,-1,-1,98,0
9,2,18,153,2,19,7,20,363,1491,8,11,0,16,15,16,16,10,0,-1,97,0,8,13,19,807,6,5,0,-1,-1,0,0
8,2,46,224,5,16,5,12,149,2430,8,12,9,17,13,17,14,17,9,-13,108,0,0,13,19,1470,20,1,0,-1,-1,0,0
3,2,12,136,5,17,7,21,197,1237,8,49,8,17,10,17,14,17,5,2367,80,0,0,10,19,735,16,1,0,-1,-1,0,0
4,2,27,161,3,16,4,21,158,2439,8,1,9,17,16,17,14,17,9,1374,197,0,0,11,16,898,3,4,0,1,-1,0,0
3,2,17,302,4,16,6,20,303,2425,8,67,2,17,14,17,13,17,5,-8,204,9,5,11,19,555,18,1,0,-1,-1,0,0
8,2,21,155,2,34,6,17,255,1460,8,56,6,11,16,17,14,17,6,789,205,6,9,13,19,880,2,1,0,-1,-1,0,0
5,2,17,138,2,35,7,27,289,2100,8,48,2,17,16,17,15,17,2,2395,96,0,9,13,19,1110,6,1,0,-1,-1,98,0
3,2,21,110,2,21,4,21,179,2118,8,67,2,17,10,17,13,17,4,-13,200,7,9,13,19,751,2,1,0,-1,-1,0,0
2,2,31,159,2,16,6,20,163,1503,8,15,6,17,16,17,13,17,7,-8,12,0,9,10,19,544,11,2,0,-1,-1,0,0
5,2,33,134,2,12,6,21,338,2439,8,55,2,11,16,17,14,17,8,-15,48,0,9,13,19,863,8,1,0,-1,-1,40,0
5,2,30,246,4,34,7,19,125,2429,8,54,8,17,16,16,13,10,7,580,98,0,9,12,19,1251,6,1,1,-1,-1,0,0
3,2,21,106,2,34,6,20,251,2452,8,69,2,11,16,17,11,17,0,-9,58,9,9,10,19,211,10,1,0,-1,-1,0,0
7,2,17,240,2,31,7,30,257,2382,8,20,7,17,10,17,13,17,7,1452,38,2,0,11,19,459,10,4,0,-1,-1,100,0
3,2,27,154,5,31,6,28,143,2104,8,52,0,16,15,16,13,16,0,1,74,0,2,11,19,989,6,1,0,-1,-1,0,0
8,2,20,299,4,23,5,28,101,1519,8,56,5,17,16,17,14,17,5,1498,42,2,9,13,19,1032,7,1,1,-1,-1,0,0
4,2,13,366,2,16,7,31,287,2395,8,52,7,17,10,17,11,17,5,2517,77,4,2,11,19,-75,2,7,0,-1,-1,0,0
7,2,30,276,2,13,7,19,233,2107,8,31,8,11,15,16,11,10,0,2,94,6,1,13,19,611,2,1,1,-1,-1,0,0
3,2,27,153,2,30,3,19,297,2104,8,56,0,16,15,16,16,16,0,-21,97,0,1,13,19,588,10,1,1,-1,-1,0,0
3,4,27,123,4,30,5,32,138,2323,8,43,9,17,10,17,14,17,9,-17,106,3,0,11,19,1302,5,2,0,-1,-1,99,0
2,2,43,169,4,16,3,19,124,2095,8,23,6,17,16,17,11,17,0,-1,40,9,7,11,19,1282,6,2,1,-1,-1,0,0
5,2,27,278,5,17,5,36,156,1162,8,9,9,17,10,17,13,17,7,-1,105,6,0,11,19,578,7,1,0,-1,-1,77,0
7,2,41,398,5,31,5,22,99,2104,8,57,9,17,10,17,14,17,8,8,98,3,0,13,19,1556,14,1,0,1,-1,102,0
8,2,44,252,2,16,5,20,136,2174,8,55,2,17,11,11,14,17,2,1645,174,4,8,13,4,256,18,2,1,-1,-1,101,0
5,2,27,326,4,30,6,19,139,2122,8,21,0,16,15,16,16,16,0,-17,198,0,0,13,19,248,6,7,1,-1,-1,0,0
3,2,27,125,2,16,5,20,295,2147,8,53,9,17,10,17,14,17,6,497,139,0,0,13,19,1366,11,1,0,-1,-1,0,0
5,2,20,88,4,33,7,28,124,2404,8,56,0,11,16,16,15,11,2,670,96,9,6,11,19,1080,6,2,0,-1,-1,1,0
3,2,26,305,3,34,6,19,243,2106,8,47,0,11,15,16,10,16,0,1481,60,9,9,11,19,1080,2,1,1,-1,-1,0,0
7,2,13,196,2,17,5,10,89,1317,8,42,9,17,14,17,14,17,9,-7,208,2,0,13,11,1386,6,7,0,1,-1,0,0
3,4,44,201,5,16,3,22,209,1566,8,39,8,17,10,17,14,17,4,762,4,1,8,10,19,1102,20,6,0,-1,-1,0,0
3,2,26,170,3,16,5,20,138,2142,8,58,9,17,14,17,14,17,9,256,17,0,0,11,19,1443,11,4,0,1,-1,0,0
7,2,17,193,2,32,2,31,143,1996,8,40,8,17,16,17,13,17,5,-10,142,0,0,11,19,888,5,2,1,-1,-1,0,0
3,4,16,154,2,34,4,30,175,2095,8,26,4,17,16,17,14,17,5,-4,99,0,0,13,11,626,7,1,0,-1,-1,0,0
3,2,17,137,5,24,6,20,129,2112,8,40,2,17,16,17,13,17,2,2414,72,0,9,13,19,1191,14,1,1,-1,-1,0,0
8,2,20,307,2,12,4,20,333,2372,8,69,6,17,16,17,13,11,6,10,136,6,0,11,19,267,6,1,1,-1,-1,0,0
3,2,26,219,2,18,2,8,134,1550,8,51,4,17,14,17,14,17,6,0,7,1,2,13,19,1209,13,1,1,-1,-1,94,0
5,2,30,261,5,24,6,19,314,1993,8,51,2,17,14,17,13,17,2,1557,71,3,2,11,19,1173,7,1,0,-1,-1,0,0
5,2,34,273,4,20,4,31,226,1721,8,52,6,17,16,17,10,17,6,2458,96,1,2,10,19,825,5,12,0,-1,-1,0,0
3,3,27,346,2,16,7,19,185,2409,8,54,6,17,14,17,13,17,2,-16,33,5,0,13,19,1090,6,1,1,-1,-1,101,0
8,4,33,398,3,17,5,20,106,2431,8,52,9,17,10,17,14,17,9,-17,116,0,6,11,19,1500,9,2,0,-1,-1,0,0
8,2,33,265,2,34,3,20,143,1789,8,27,8,11,14,17,15,17,0,-4,220,7,0,11,19,616,10,2,1,-1,-1,0,0
9,4,17,155,5,17,3,20,205,1460,8,56,8,17,16,17,15,17,8,-17,140,4,9,13,19,748,12,4,0,-1,-1,0,0
3,2,34,327,2,17,6,20,245,1718,8,50,0,17,16,17,10,10,2,330,190,6,2,13,19,408,19,1,1,-1,-1,97,0
5,2,14,306,5,34,6,19,205,1097,8,16,0,11,15,16,15,16,0,5,212,0,2,13,19,570,6,10,1,-1,-1,0,0
2,2,33,369,2,17,6,33,216,1507,8,73,8,17,10,17,13,17,6,2537,49,9,9,11,19,1251,14,1,1,1,-1,0,0
7,2,30,400,5,17,6,20,381,1512,8,35,2,17,16,17,13,17,4,-14,94,0,2,11,19,1406,14,1,1,-1,-1,0,0
7,2,25,274,2,34,6,31,121,2494,8,55,4,17,16,17,14,11,7,1540,72,9,4,11,19,1051,7,2,1,-1,-1,0,0
3,2,33,156,4,16,7,31,345,2416,8,36,5,17,14,17,13,17,6,-1,43,0,9,11,19,1093,3,1,0,-1,-1,0,0
9,2,18,377,4,32,8,21,216,2512,8,55,4,17,13,17,15,17,9,-1,202,0,9,13,19,561,9,2,0,-1,-1,0,0
2,2,13,357,5,17,5,11,114,1216,8,56,2,17,16,17,14,17,8,-8,71,3,0,13,19,516,17,5,0,-1,-1,0,0
3,2,17,331,5,18,7,10,193,2523,8,37,9,17,10,17,11,17,5,1488,110,0,6,11,19,1167,11,2,0,-1,-1,0,0
7,2,31,299,4,31,2,28,211,2111,8,43,7,16,15,17,16,11,0,1667,118,9,2,11,19,685,18,1,1,-1,-1,0,0
3,2,17,356,2,17,6,32,215,2123,8,54,2,17,13,17,11,17,5,2137,98,0,2,13,19,1132,4,6,0,-1,-1,0,0
3,2,17,356,5,35,7,29,149,2222,8,46,2,17,16,17,14,17,2,1469,206,0,9,11,19,1341,7,1,0,-1,-1,0,0
3,2,17,252,2,11,7,22,143,1509,8,39,6,17,16,17,11,17,5,5,84,3,9,13,16,1186,10,7,0,-1,-1,0,0
8,2,34,130,2,17,5,18,112,2417,8,54,8,17,10,17,14,17,5,-4,134,4,0,13,19,1295,9,1,0,1,-1,0,0
4,2,20,175,4,25,7,30,223,1859,8,55,9,17,10,17,14,17,7,-16,78,1,0,13,19,1025,7,1,1,-1,-1,0,1
3,2,25,355,4,12,7,20,169,2195,8,23,7,17,16,17,13,17,7,504,168,2,0,13,19,250,5,12,0,-1,-1,0,0
5,2,18,158,5,21,3,21,332,1028,8,26,6,11,16,17,17,17,2,-20,67,3,9,11,19,1407,6,11,0,-1,-1,0,0
2,4,44,413,2,20,7,20,156,2456,8,55,4,11,14,17,14,17,8,2536,117,0,0,11,19,891,6,1,1,-1,-1,99,0
6,2,26,259,3,16,7,32,196,1805,8,39,2,17,13,17,13,17,8,-12,168,0,2,11,19,1103,9,1,1,-1,-1,0,0
7,2,33,386,3,17,6,11,126,2641,8,36,9,17,10,17,14,17,2,2448,38,0,0,13,11,426,7,3,0,-1,-1,72,0
5,2,26,124,4,34,7,20,312,2113,8,37,8,11,16,17,15,15,0,8,220,0,7,11,19,563,7,1,1,-1,-1,0,0
3,2,18,222,2,16,2,31,151,2124,8,58,9,17,14,17,13,17,9,-9,80,2,0,10,19,276,6,4,0,-1,-1,71,0
5,2,21,365,2,34,7,20,225,1724,8,52,4,17,14,17,11,17,5,0,39,0,9,11,19,81,6,1,1,1,-1,0,0
8,4,44,229,2,15,5,20,208,1410,8,57,3,17,14,17,14,17,9,1388,94,1,0,11,19,1046,5,1,0,-1,-1,0,0
7,4,33,430,4,17,6,20,100,1504,8,48,6,17,16,17,13,17,5,-9,108,1,0,11,19,753,7,1,1,-1,-1,0,0
3,2,21,167,5,16,4,20,198,2233,8,20,0,16,15,16,16,16,0,908,37,0,9,13,19,1068,6,1,1,-1,-1,0,0
5,2,27,251,2,33,5,19,291,2123,8,15,0,16,15,16,16,16,0,-5,105,0,8,13,19,1445,6,1,0,-1,-1,0,0
8,4,21,415,2,33,6,20,281,1497,8,25,8,17,16,17,15,17,9,2387,203,9,2,12,4,1065,2,1,0,-1,-1,0,0
3,4,20,253,5,17,6,34,119,1733,8,55,6,17,10,17,10,17,8,1,83,6,9,11,19,570,8,2,0,-1,-1,0,0
7,2,21,178,3,32,6,20,235,2108,8,43,5,11,16,11,15,17,2,127,15,4,7,11,19,923,6,1,1,-1,-1,0,0
4,2,34,347,4,32,7,20,139,2104,8,50,0,16,15,16,10,16,0,169,208,6,2,11,19,1105,6,1,1,-1,-1,0,0
8,2,17,200,2,34,6,34,140,1516,8,70,0,16,15,16,11,10,0,-2,34,0,8,13,19,1054,6,1,1,-1,-1,0,0
8,2,41,317,4,17,6,20,161,1524,8,68,5,16,10,17,14,17,6,795,206,1,0,13,19,695,7,2,0,-1,-1,98,1
5,2,27,255,2,34,5,19,261,2101,8,61,0,16,15,16,15,16,0,-5,212,0,9,13,19,169,6,4,1,-1,-1,100,0
2,4,21,113,5,34,6,30,134,1725,8,44,6,15,16,17,13,17,5,-2,116,9,6,11,19,1255,6,1,0,-1,-1,79,0
8,2,19,433,5,17,6,21,116,2085,8,72,7,17,16,17,14,11,2,1547,205,4,0,10,19,540,11,1,0,-1,-1,0,0
3,2,27,103,2,34,2,20,337,1480,8,16,2,17,16,17,11,11,5,-5,167,7,9,11,19,1249,5,1,0,-1,-1,39,0
