u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle,u_refreshTimes,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label,pro,cillabel
14,17,14,17,2,2,218,0,0,13,20,1198,6,1,0,0,0,0
15,16,14,16,0,-7,84,9,0,13,19,345,2,17,0,0,0,0
14,15,14,15,0,10,170,6,9,13,19,1316,7,1,1,0,0,0
14,17,13,17,2,-6,202,8,9,11,1,790,0,4,0,0,0,0
15,16,15,16,0,-4,21,5,9,10,19,617,6,1,1,0,0,0
11,17,14,17,5,0,224,0,0,13,16,1077,5,1,0,0,0,0
14,17,14,17,2,-6,159,6,9,13,19,537,9,1,0,0,0,0
14,17,14,17,2,9,226,0,0,13,19,1049,7,1,0,1,20,0
16,17,10,17,7,992,172,0,8,13,19,379,7,3,1,0,0,1
14,17,14,15,2,3,219,6,1,13,19,1193,11,11,0,0,0,0
14,17,14,11,2,-3,115,6,9,10,19,1203,6,1,1,0,0,0
14,17,14,17,2,3,112,0,9,10,19,579,6,1,1,0,0,0
14,17,15,11,0,-2,9,0,9,10,3,45,6,1,0,0,0,0
10,11,13,11,0,-5,19,5,9,11,19,705,6,1,1,0,0,0
14,17,10,11,0,-1,41,6,9,10,19,1194,6,1,1,0,0,0
11,17,13,10,3,2392,206,7,9,11,19,1454,14,1,0,0,0,0
15,16,15,16,0,-11,96,0,6,10,19,634,6,1,1,0,0,0
10,15,15,16,0,904,199,1,2,13,19,266,7,1,1,0,0,0
14,17,14,17,9,2,227,0,0,13,16,1047,2,10,0,0,0,0
10,17,15,11,0,6,171,0,9,11,19,759,7,1,1,0,0,0
14,17,10,11,2,-2,96,0,9,10,19,1456,6,1,1,0,0,0
14,17,14,10,0,6,102,4,9,10,11,1058,6,1,1,0,19,0
15,16,14,13,0,-11,79,9,9,13,19,300,9,4,0,0,0,0
15,16,14,17,0,2,171,0,0,13,19,842,7,1,1,0,0,0
14,17,14,17,5,-2,219,6,0,13,19,642,11,9,0,0,0,0
14,17,10,17,2,4,111,6,8,14,19,1226,2,3,0,0,0,0
15,17,15,10,2,1,224,9,9,10,19,328,2,2,0,1,75,0
14,17,15,17,2,0,103,0,0,11,1,1041,1,1,0,1,100,0
15,17,15,11,5,862,168,0,6,11,19,885,7,1,1,0,0,0
14,17,14,17,0,3,220,8,0,13,19,1146,1,1,0,0,0,0
15,16,15,16,0,-6,169,0,0,13,2,335,3,19,0,0,0,0
14,17,14,17,2,-1,219,3,0,13,19,613,11,4,0,0,0,0
16,11,14,15,0,990,113,4,9,11,19,185,7,1,1,0,0,0
16,11,14,15,0,992,223,0,9,13,19,87,7,1,1,0,0,0
10,11,15,13,0,2,13,1,9,10,19,280,6,1,1,0,0,0
15,16,15,16,0,-1,99,0,6,10,19,272,6,1,1,0,0,0
14,17,10,17,2,-3,168,2,9,10,19,575,6,1,1,0,0,0
10,17,13,17,2,831,168,1,6,13,19,375,7,3,0,0,0,0
15,17,15,10,0,978,167,0,6,13,19,858,7,1,1,0,0,0
14,15,14,13,0,7,221,6,9,13,19,1266,7,1,1,0,0,0
14,17,10,17,9,0,170,0,0,13,11,823,5,1,0,0,0,0
11,17,16,17,5,1995,170,0,0,13,19,892,10,2,0,0,0,0
10,15,15,11,0,2,12,5,9,10,19,176,6,1,1,0,0,0
16,15,14,15,0,3289,108,6,8,13,19,270,7,1,1,0,0,0
14,17,10,17,2,0,223,0,0,12,11,1153,6,1,0,0,0,0
14,17,14,10,1,955,218,0,6,13,19,1214,7,1,1,0,0,0
14,17,15,17,5,12,171,0,0,13,11,1473,11,15,0,0,0,0
15,16,15,16,0,859,175,0,6,13,19,218,7,1,1,1,20,0
10,11,15,11,0,-1,23,1,9,10,19,746,6,1,1,0,0,0
10,17,15,17,4,1905,170,0,8,11,19,877,14,1,0,0,0,0
14,17,10,11,2,0,74,0,9,10,19,796,6,1,1,0,0,0
10,17,13,11,0,825,174,0,9,11,19,762,7,1,1,0,0,0
15,16,15,16,0,4,97,1,9,10,11,350,6,1,1,0,0,0
11,17,13,17,4,3109,64,1,9,11,19,861,7,1,1,0,0,0
14,17,14,17,2,-5,111,0,9,10,19,1264,6,1,1,0,0,0
14,17,14,17,2,-4,113,4,9,11,19,1332,14,1,0,0,0,0
15,16,15,16,0,-2,169,0,9,10,19,304,6,1,1,0,0,0
14,17,14,17,2,1,145,0,0,12,2,835,2,1,0,0,0,0
14,17,10,17,7,-2,201,0,0,13,16,640,2,7,0,0,0,0
16,17,15,11,0,894,172,4,6,11,19,1391,6,1,1,0,0,0
15,16,15,13,0,1,172,1,9,11,19,768,11,1,1,0,0,0
14,15,14,15,0,2273,219,6,9,13,19,1259,6,1,1,0,0,0
16,17,16,17,5,7,100,0,4,13,19,1133,2,2,0,1,79,1
14,17,10,17,2,4,221,0,9,10,19,118,6,1,1,1,102,0
15,17,15,11,6,-3,46,4,9,13,19,444,14,1,0,0,0,0
13,11,15,12,0,-1,8,0,9,10,19,841,6,1,1,0,0,0
10,17,15,12,0,998,170,0,9,11,19,771,7,1,1,0,0,0
11,17,16,17,5,3,48,0,2,10,19,1183,2,2,0,0,0,0
15,16,15,16,0,-9,98,1,9,10,19,410,2,1,0,0,0,0
14,17,14,15,0,4,218,6,9,13,19,1275,7,1,1,0,0,0
16,17,15,11,3,-3,157,9,3,12,19,300,2,2,0,1,0,0
14,17,13,17,5,308,62,3,7,12,19,834,14,3,0,0,0,0
11,17,13,17,5,3,83,3,1,11,19,1376,3,2,0,0,0,0
14,17,14,15,2,0,226,6,1,13,19,1213,14,5,0,0,0,0
15,13,15,16,0,1,75,1,9,14,19,324,2,12,0,0,0,0
15,16,15,16,0,-5,169,0,5,13,19,272,6,1,1,0,0,0
14,17,10,12,2,875,109,0,3,11,19,863,7,1,1,0,0,0
16,17,13,11,3,2165,199,4,9,11,19,331,2,5,0,0,0,0
14,17,15,11,7,-1,167,0,0,13,11,638,11,1,0,0,0,0
11,17,14,17,5,3728,223,0,0,13,19,1358,5,1,0,0,0,0
11,17,13,17,3,2481,157,7,8,13,19,1386,2,3,0,0,0,0
11,17,14,17,9,21,224,0,0,13,19,788,2,1,0,0,0,0
16,15,14,17,0,-2,220,0,0,13,19,820,10,1,0,0,0,0
14,17,14,17,2,2198,17,6,3,13,19,1243,13,1,0,0,0,0
14,17,10,17,9,4,172,0,0,11,11,847,6,1,0,0,0,0
16,17,14,11,0,3060,105,4,2,13,19,1325,19,2,0,0,0,1
16,11,16,15,0,1135,178,0,6,13,19,801,7,1,1,1,20,0
14,17,14,17,5,-4,224,0,0,13,16,1008,2,14,0,0,0,0
10,17,15,17,0,-2,44,7,2,12,19,352,2,1,0,0,0,0
16,16,15,12,0,3030,170,9,8,11,19,295,7,1,1,0,0,0
16,15,14,15,0,854,117,5,5,13,19,260,9,1,0,0,0,0
14,17,14,11,2,2,98,0,9,10,11,1132,6,1,1,0,20,0
16,11,14,15,0,7,177,0,9,10,19,116,6,1,1,1,20,0
14,17,10,17,8,2788,135,3,6,13,19,1217,7,5,0,0,0,0
14,15,14,11,0,-1,220,6,9,13,19,314,13,1,0,0,0,0
14,17,15,17,5,2372,99,0,0,11,11,1456,2,1,0,0,0,0
14,16,14,15,0,-3,169,0,6,10,11,1186,6,1,1,0,0,0
14,17,14,17,7,0,102,0,0,13,16,1006,2,2,0,1,40,0
14,17,10,17,2,0,98,8,9,10,19,611,6,1,1,0,0,0
14,17,14,17,2,-3,116,6,9,12,19,1242,6,1,1,0,0,0
10,15,15,15,0,1084,171,0,6,13,19,233,7,1,1,0,0,0
11,17,16,17,7,5,103,0,2,10,19,1081,6,1,0,1,102,0
14,17,14,17,2,8,112,0,0,13,20,1222,7,1,1,0,0,0
14,17,13,11,2,4,114,6,9,10,19,1250,6,1,1,0,0,0
16,11,13,15,0,2952,74,4,9,13,19,865,16,1,0,1,40,0
15,16,14,16,0,1067,171,0,8,13,19,854,7,1,1,0,0,0
14,17,10,17,2,-3,58,3,8,12,11,642,19,1,0,0,0,0
14,17,13,15,2,1862,35,7,8,13,19,610,9,4,0,0,0,0
15,16,13,16,0,-1,41,1,9,12,19,249,2,1,0,0,0,0
11,17,16,15,1,965,166,6,3,13,19,1218,7,1,1,0,0,0
16,15,14,10,2,2408,111,4,9,13,19,1183,15,3,0,0,0,0
14,17,15,17,6,1769,78,0,8,13,19,1002,7,1,0,0,0,0
14,17,14,17,2,0,226,0,0,13,16,1060,2,4,0,0,0,0
13,17,13,17,5,-2,222,0,0,11,19,623,1,22,0,0,0,0
10,17,15,17,4,5,205,0,2,11,11,751,2,1,0,1,73,0
14,11,14,11,0,1,110,4,9,10,19,1156,6,1,1,0,0,0
14,17,10,17,2,-1,6,2,9,11,19,1450,6,1,1,0,0,0
14,17,15,17,2,0,53,0,0,11,1,565,1,1,0,0,0,0
14,17,13,17,2,0,113,0,0,10,16,600,2,1,0,0,0,0
15,17,10,16,6,-3,77,7,3,13,19,662,18,1,1,0,0,0
15,16,12,13,0,638,170,0,9,13,19,362,7,3,1,0,0,0
15,16,15,16,0,-3,215,0,2,13,19,852,7,1,1,0,0,0
10,17,13,11,7,1740,171,0,0,11,19,320,14,2,0,1,40,0
16,15,14,15,0,1072,175,4,9,11,19,835,7,1,1,0,0,0
16,11,13,13,3,-2,147,9,8,12,19,289,12,5,0,0,0,0
15,17,14,15,0,-8,220,9,0,13,20,848,2,6,0,0,0,0
14,17,10,11,2,1,6,6,9,10,19,594,6,1,0,0,0,0
14,17,14,11,2,-6,97,0,9,10,19,1279,6,1,1,0,0,0
14,15,14,15,0,18,222,4,9,13,19,1160,7,1,1,0,0,0
15,16,15,16,0,-2,77,9,5,13,19,287,2,5,0,0,0,0
14,17,13,17,2,-1,159,6,8,13,19,1388,2,1,0,0,0,0
11,17,14,17,7,2,48,0,0,13,16,157,2,9,0,0,0,0
10,17,15,17,4,1664,173,1,3,11,19,390,7,1,1,0,0,0
11,17,13,17,7,8,221,1,1,11,19,1249,2,2,0,0,0,0
14,17,14,17,2,-1,98,5,9,10,11,1219,6,1,1,0,0,0
15,16,15,16,0,0,172,0,0,13,19,332,7,1,1,0,0,0
14,17,13,17,5,2828,201,3,8,11,19,132,2,11,0,0,0,0
16,11,14,15,0,3,114,1,9,13,19,1239,2,1,0,0,0,0
14,17,13,15,0,2614,19,6,9,11,19,718,13,1,1,0,0,0
15,15,15,15,0,3,39,9,0,13,19,222,2,2,0,0,0,0
14,15,14,11,0,3398,170,6,6,13,19,867,7,1,1,0,0,0
11,17,15,11,1,1023,171,0,6,11,19,975,7,1,1,0,0,0
11,17,14,11,0,-2,97,0,9,10,19,1329,6,1,1,0,21,0
14,17,10,11,0,-2,166,0,9,10,19,1407,6,1,1,0,0,0
15,16,15,16,0,-3,98,1,9,10,19,596,6,1,1,0,0,0
10,15,13,12,0,0,21,0,9,11,19,792,6,1,1,0,0,0
10,17,13,17,5,860,208,3,8,11,19,869,14,1,0,0,0,0
10,15,15,16,0,-4,17,9,9,10,19,151,6,1,1,0,0,0
15,17,16,17,7,-12,52,0,0,13,19,596,0,26,0,0,0,0
15,15,15,16,0,-2,12,1,6,10,19,256,6,1,1,0,0,0
15,16,14,10,0,845,218,0,3,13,19,612,7,1,1,0,0,0
16,15,14,11,3,-7,104,0,0,13,19,1107,2,2,0,1,101,0
10,17,13,17,7,926,205,0,3,11,19,1163,6,2,0,0,0,0
14,17,14,17,0,8,98,0,9,13,19,1251,6,1,1,0,0,0
13,17,15,17,7,0,198,8,0,13,19,328,2,2,0,0,0,0
14,17,10,11,0,2,109,0,9,10,19,1122,6,1,1,0,74,0
11,17,13,11,0,-2,20,0,9,10,19,1382,6,1,1,0,0,0
14,17,14,17,6,-4,176,0,6,13,2,1128,2,2,0,0,0,0
10,17,15,11,0,1,41,5,9,12,19,325,10,1,0,0,0,0
16,17,15,11,4,901,171,0,4,11,19,378,1,3,0,0,0,0
11,17,14,17,2,1,229,0,1,13,11,1002,2,1,0,1,39,1
14,15,14,13,3,-2,53,6,9,13,19,1222,2,2,0,0,0,0
14,17,13,17,5,4,99,0,3,13,19,1037,2,2,0,0,0,0
15,11,15,13,7,3,79,9,2,13,19,268,2,2,0,0,0,0
14,17,14,17,2,877,213,0,8,13,19,1425,7,3,1,0,0,0
14,17,15,11,7,1,19,2,9,11,19,800,2,1,0,0,0,0
14,17,13,17,5,-3,34,6,9,13,19,573,0,7,0,0,0,0
14,17,14,17,8,2108,170,0,1,13,19,844,7,1,1,0,0,0
10,17,13,17,3,3162,219,4,8,13,19,1329,13,6,0,0,0,0
16,17,13,17,5,-4,47,8,9,13,19,1434,1,2,0,0,0,0
14,17,14,17,2,-2,49,6,6,13,19,635,9,23,0,0,0,0
15,16,15,16,0,-2,98,1,6,10,19,336,6,18,1,0,0,0
14,17,15,17,6,4,172,3,6,11,19,681,6,1,0,0,0,0
15,16,14,16,0,1008,171,0,6,13,19,864,7,1,1,0,0,0
16,17,14,17,3,-1,89,0,0,13,16,1106,2,2,0,1,73,0
10,17,15,11,0,-1,22,0,9,10,19,753,6,1,1,0,0,0
14,17,13,15,2,-1,114,6,9,12,19,1216,8,1,0,0,0,0
14,17,14,17,2,-1,30,0,0,13,2,1071,2,1,0,0,0,0
14,17,10,17,2,1822,218,6,8,13,19,594,7,1,1,0,0,0
11,17,14,17,7,-2,49,0,0,13,19,1201,2,2,0,0,0,0
15,17,15,17,5,-6,56,0,0,11,19,707,2,3,0,0,0,0
11,17,13,13,0,1126,171,0,6,11,19,1470,7,1,1,0,0,0
14,17,14,17,5,-2,219,0,0,13,19,1193,11,20,0,0,0,0
14,11,14,15,3,-4,170,9,9,13,19,565,2,7,0,0,0,0
11,17,15,11,0,988,170,0,6,11,19,1411,6,1,1,0,0,0
15,17,15,17,7,-3,51,0,0,10,16,364,2,8,0,0,0,0
14,17,14,17,2,5,219,0,0,13,20,1303,11,1,0,0,0,0
10,17,13,17,2,2490,150,7,9,11,19,775,15,1,0,0,0,0
10,13,15,13,0,20,169,1,9,11,19,249,7,1,1,0,0,0
16,15,16,17,3,14,221,4,8,13,19,280,2,2,0,1,42,0
14,15,13,13,0,-5,9,4,9,10,19,211,6,1,1,0,0,0
11,17,14,17,8,2336,203,0,2,13,19,568,4,3,0,0,0,0
14,17,10,11,7,-3,109,0,9,10,19,756,6,1,1,0,0,0
10,17,15,17,5,-4,51,0,0,11,19,174,2,2,0,0,0,0
14,17,10,11,2,1,8,8,9,10,19,755,6,1,1,0,0,0
15,16,15,16,0,4,170,0,6,10,19,312,6,1,1,0,0,0
14,17,16,17,2,3,100,0,0,10,11,1073,6,1,0,1,21,0
14,17,13,17,2,2391,169,8,9,11,19,805,14,1,1,0,0,0
14,17,10,11,2,-1,14,0,9,10,19,1251,6,1,1,0,0,0
16,11,13,17,0,896,220,4,8,11,19,90,2,2,0,1,79,0
14,17,13,15,0,991,11,9,9,11,19,763,7,1,1,0,0,0
15,16,15,16,0,476,168,0,6,10,19,315,6,1,1,0,0,0
14,17,10,17,5,871,168,0,6,13,19,1433,6,1,1,0,0,0
10,11,15,10,0,-14,134,9,9,13,19,271,14,3,0,0,0,0
10,17,13,17,8,510,207,4,9,11,19,752,14,1,0,0,0,0
14,17,13,17,2,2817,201,2,9,13,19,1377,7,1,0,0,0,0
11,17,14,17,2,2271,169,0,0,13,20,836,10,1,0,0,0,0
15,11,13,10,0,2666,219,9,9,11,19,236,15,1,0,0,0,0
15,17,15,16,0,-9,168,0,3,10,19,841,6,1,1,0,0,0
14,17,13,17,2,2073,15,6,1,12,19,1221,9,5,0,0,0,0
16,11,14,15,0,1865,171,4,9,11,19,99,16,2,0,1,40,0
16,17,16,17,5,-1,102,0,0,13,16,1056,1,1,0,1,102,0
16,17,16,11,7,-1,101,7,9,10,11,1080,0,2,0,1,77,0
11,16,14,17,3,2039,228,0,0,13,19,772,4,1,0,0,0,0
14,17,15,11,5,892,169,6,9,11,19,787,7,1,1,0,0,0
14,17,14,11,0,-3,95,0,9,10,19,545,6,1,1,0,0,0
16,17,12,11,0,1,101,0,9,10,19,97,6,1,1,1,71,0
14,17,10,17,2,864,112,0,6,11,19,1203,6,1,1,0,0,0
14,17,14,15,3,982,221,9,0,13,19,1247,7,1,1,0,0,0
11,17,10,17,7,888,217,0,0,13,11,832,7,1,0,0,0,0
11,17,13,17,5,-2,38,0,6,12,1,943,0,2,0,0,0,0
15,16,15,16,0,-10,81,0,3,12,19,264,6,1,1,0,0,0
14,17,13,17,2,-6,12,8,9,13,19,611,9,5,0,0,0,0
14,17,14,17,7,-5,51,0,0,13,19,573,2,6,0,0,0,0
11,17,16,17,0,6,103,4,8,10,2,946,1,1,0,1,68,0
14,17,10,17,5,2595,222,0,0,13,11,396,5,7,0,0,0,0
14,15,15,13,0,4,11,9,9,10,19,219,6,1,1,0,0,0
14,17,10,17,2,-1,44,0,9,11,2,575,1,1,0,0,0,0
14,17,14,15,2,6,114,6,1,13,19,1157,10,1,0,0,0,0
10,11,14,11,0,3,223,4,9,13,3,1040,11,1,0,1,20,0
11,17,13,17,5,1038,202,3,8,13,19,34,6,4,0,0,0,0
14,17,14,13,2,3619,202,6,8,13,19,1206,7,3,0,0,0,0
13,11,14,15,0,2,107,6,9,10,19,1209,6,1,1,0,0,0
10,17,13,17,5,7,100,4,4,10,2,413,1,2,0,0,0,0
14,17,13,11,3,-10,153,5,9,13,19,571,2,4,0,0,0,0
14,17,10,17,7,0,170,0,0,13,11,850,7,1,0,0,0,0
10,17,15,11,7,-5,98,0,9,10,19,803,6,1,1,0,0,0
14,15,14,15,0,964,174,0,9,13,19,1381,7,1,1,0,0,0
11,17,14,11,2,6,90,6,9,12,19,1051,13,1,0,0,0,0
15,16,17,16,7,-6,19,1,6,13,19,597,9,4,0,0,0,0
10,11,15,15,0,2,98,0,9,10,19,176,6,1,1,1,40,0
14,17,14,11,0,1,111,4,9,10,19,1075,6,1,1,0,0,0
14,17,10,17,5,1652,155,0,0,13,16,782,2,11,0,0,0,0
10,17,15,12,0,958,109,0,6,11,19,1457,7,1,1,0,0,0
13,17,15,11,2,1,170,4,4,13,19,384,2,1,0,0,0,0
13,11,14,15,0,3207,114,4,3,13,19,1165,14,1,0,0,0,0
10,17,10,17,7,955,169,0,9,11,19,839,7,1,1,0,0,0
15,16,15,16,0,1,101,0,0,10,11,246,2,2,0,1,75,0
14,17,13,12,0,-2,169,0,3,10,19,1093,6,1,1,0,0,0
14,17,14,11,0,2512,111,0,3,11,19,1365,7,1,1,0,0,0
14,17,14,17,2,4,222,6,0,13,19,1238,5,17,0,0,0,0
14,11,14,15,0,4,218,6,9,13,19,1182,8,1,0,0,0,0
14,17,14,17,2,-7,220,0,0,13,19,505,2,14,0,0,0,0
14,11,14,15,0,4,16,8,9,10,19,1189,11,1,0,0,0,0
14,17,10,11,0,4,107,8,9,11,2,547,10,1,1,0,0,0
14,17,14,10,6,2,111,0,0,12,19,1205,18,1,1,0,0,0
14,17,14,17,2,-2,82,0,0,13,2,831,2,1,0,0,0,0
16,15,14,15,0,8,230,4,0,13,19,1281,7,1,0,1,42,0
14,17,14,15,2,2821,200,6,1,13,19,1273,2,5,0,0,0,0
16,11,15,15,0,2851,171,0,3,11,19,940,15,1,0,0,0,0
11,17,13,17,8,1079,171,0,8,11,19,126,7,1,1,0,0,0
15,17,15,16,7,-6,45,0,0,13,2,864,2,11,0,0,0,0
14,17,10,11,2,-2,98,0,0,10,11,598,6,1,0,0,0,0
16,17,16,17,3,0,60,0,0,13,19,1204,2,2,0,1,41,0
14,17,14,17,6,960,169,0,0,13,19,836,7,1,1,0,0,0
14,17,13,17,8,1017,96,2,8,11,19,407,7,1,1,0,0,0
16,12,15,11,0,0,98,5,9,10,19,239,6,1,1,0,0,0
10,17,15,17,4,1117,169,0,6,11,19,1502,7,1,1,0,0,0
14,17,13,17,5,-5,154,6,9,13,19,486,1,5,0,0,0,0
14,17,14,17,9,-1,222,0,0,13,11,1120,6,1,0,0,0,0
11,17,12,11,7,4,173,0,4,11,11,1020,1,1,0,1,40,0
14,17,14,17,2,-1,229,0,0,13,16,1046,2,7,0,0,0,0
14,17,14,17,2,1660,219,6,9,13,19,601,1,1,0,0,0,0
14,17,10,17,2,-2,96,0,9,10,19,599,6,1,1,0,0,0
10,17,15,11,0,-3,97,0,9,10,19,751,6,1,1,0,0,0
14,17,14,17,7,-2,130,0,0,13,11,627,2,32,0,0,0,0
15,16,14,15,0,862,169,0,6,13,19,851,7,1,1,0,0,0
16,11,15,13,0,2631,59,7,9,11,19,1402,14,1,1,0,0,0
13,15,14,15,2,-4,112,9,9,14,19,1252,6,1,1,0,0,0
16,11,13,15,0,2714,23,4,9,11,19,931,7,1,1,0,0,0
14,17,14,17,2,-1,99,8,1,10,11,1261,6,1,0,0,0,0
16,17,14,17,7,5,225,0,0,13,19,825,10,1,0,0,0,0
16,11,15,15,0,979,170,0,6,11,19,1463,7,1,1,0,0,0
14,17,10,17,2,2,217,0,0,11,19,586,7,1,1,0,0,0
10,17,15,13,0,1114,61,7,9,11,19,238,2,2,0,1,74,0
14,17,15,11,5,-4,169,0,2,12,19,1162,6,18,0,0,0,0
11,17,10,17,9,3106,170,0,6,11,19,1387,7,1,1,0,0,0
16,17,14,17,2,4,212,4,8,13,19,1083,2,2,0,1,41,0
14,17,10,17,2,874,23,6,3,13,19,615,11,1,0,0,0,0
15,17,15,17,5,867,170,0,0,13,19,407,14,3,0,0,0,0
14,17,14,17,5,6,170,0,0,13,19,566,11,5,0,0,0,0
16,17,16,15,1,1140,178,4,8,13,19,186,7,2,1,1,38,0
16,11,13,15,3,3470,211,4,9,13,19,230,3,2,0,1,42,0
10,17,15,11,0,899,170,0,6,13,19,1437,7,1,1,0,0,0
16,17,13,17,8,2297,202,1,8,11,19,324,5,3,0,0,0,0
11,11,14,17,3,4,144,9,8,13,19,73,3,2,0,0,0,0
10,17,16,17,5,9,100,0,0,13,19,1430,2,2,0,0,0,0
16,17,13,17,3,11,173,4,9,13,19,176,2,2,0,0,0,0
14,12,14,15,2,-6,54,6,9,13,11,1248,16,1,0,0,0,0
14,17,10,17,2,1,169,0,9,10,19,1382,6,1,1,0,0,0
15,16,15,16,0,-13,99,0,6,13,19,278,6,1,1,0,0,0
10,15,13,12,0,2950,175,4,9,11,19,1333,7,1,1,0,0,0
11,17,15,11,4,7,168,0,9,11,19,1493,6,1,1,0,0,0
11,17,10,17,2,1,111,0,6,11,19,638,6,1,1,0,0,0
16,17,13,17,5,-3,104,4,0,13,11,1315,1,1,0,1,73,0
14,17,10,17,2,1,99,0,2,10,11,1176,6,1,0,0,0,0
15,17,15,11,0,1,11,1,3,11,19,799,2,1,0,0,0,0
14,17,15,17,4,0,12,2,6,11,19,805,6,1,0,0,0,0
13,15,13,15,0,-2,10,9,9,13,19,541,7,1,1,0,0,0
11,17,15,11,0,2868,170,0,5,11,19,806,7,1,1,0,0,0
16,17,16,17,7,3,105,0,9,10,19,985,6,2,0,1,22,0
16,11,15,11,0,-2,49,7,9,11,19,202,2,2,0,1,73,0
14,17,10,17,2,927,167,8,8,12,19,410,7,1,1,0,0,0
15,16,15,16,0,-7,97,5,9,10,19,264,7,1,0,0,0,0
14,17,13,17,2,2752,193,6,6,13,19,1251,19,5,0,0,0,0
