,Accuracy,AUC,F1,Recall,Precision,AP,TPR,FPR,TNR,FNR
CTABGAN_4_NB,0.934,0.75,0.109,0.096,0.125,0.099,0.096,0.029,0.971,0.904
CTABGAN_4_SVM,0.958,0.625,0.0,0.0,0.0,0.103,0.0,0.0,1.0,1.0
CTABGAN_4_RF,0.959,0.823,0.235,0.153,0.509,0.261,0.153,0.006,0.994,0.847
CTABGAN_4_XGB,0.957,0.794,0.15,0.09,0.432,0.237,0.09,0.005,0.995,0.91
CTABGAN_5_LR,0.958,0.776,0.0,0.0,0.0,0.119,0.0,0.0,1.0,1.0
CTABGAN_5_DT,0.935,0.596,0.206,0.203,0.208,0.081,0.203,0.034,0.966,0.797
CTABGAN_5_KNN,0.953,0.681,0.107,0.068,0.25,0.105,0.068,0.009,0.991,0.932
CTABGAN_5_NB,0.934,0.745,0.107,0.096,0.121,0.097,0.096,0.03,0.97,0.904
CTABGAN_5_SVM,0.958,0.635,0.0,0.0,0.0,0.11,0.0,0.0,1.0,1.0
CTABGAN_5_RF,0.957,0.816,0.223,0.147,0.464,0.252,0.147,0.007,0.993,0.853
CTABGAN_5_XGB,0.957,0.79,0.15,0.09,0.444,0.233,0.09,0.005,0.995,0.91
TVAE_1_LR,0.958,0.8,0.0,0.0,0.0,0.148,0.0,0.0,1.0,1.0
TVAE_1_DT,0.939,0.609,0.236,0.226,0.247,0.095,0.226,0.03,0.97,0.774
TVAE_1_KNN,0.956,0.666,0.06,0.034,0.261,0.091,0.034,0.004,0.996,0.966
TVAE_1_NB,0.936,0.775,0.087,0.073,0.106,0.108,0.073,0.027,0.973,0.927
TVAE_1_SVM,0.958,0.65,0.0,0.0,0.0,0.105,0.0,0.0,1.0,1.0
TVAE_1_RF,0.958,0.818,0.234,0.153,0.5,0.252,0.153,0.007,0.993,0.847
TVAE_1_XGB,0.956,0.777,0.231,0.158,0.431,0.201,0.158,0.009,0.991,0.842
TVAE_2_LR,0.958,0.802,0.0,0.0,0.0,0.148,0.0,0.0,1.0,1.0
TVAE_2_DT,0.936,0.607,0.231,0.232,0.23,0.091,0.232,0.034,0.966,0.768
TVAE_2_KNN,0.957,0.657,0.051,0.028,0.278,0.089,0.028,0.003,0.997,0.972
TVAE_2_NB,0.937,0.775,0.075,0.062,0.096,0.108,0.062,0.025,0.975,0.938
TVAE_2_SVM,0.958,0.648,0.0,0.0,0.0,0.102,0.0,0.0,1.0,1.0
TVAE_2_RF,0.958,0.8,0.22,0.141,0.5,0.244,0.141,0.006,0.994,0.859
TVAE_2_XGB,0.958,0.768,0.238,0.158,0.483,0.215,0.158,0.007,0.993,0.842
TVAE_3_LR,0.958,0.802,0.0,0.0,0.0,0.148,0.0,0.0,1.0,1.0
TVAE_3_DT,0.943,0.609,0.252,0.232,0.277,0.102,0.232,0.026,0.974,0.768
TVAE_3_KNN,0.957,0.654,0.031,0.017,0.214,0.086,0.017,0.003,0.997,0.983
TVAE_3_NB,0.938,0.775,0.07,0.056,0.093,0.107,0.056,0.024,0.976,0.944
TVAE_3_SVM,0.958,0.642,0.0,0.0,0.0,0.102,0.0,0.0,1.0,1.0
TVAE_3_RF,0.958,0.812,0.224,0.147,0.473,0.246,0.147,0.007,0.993,0.853
TVAE_3_XGB,0.956,0.761,0.198,0.13,0.418,0.207,0.13,0.008,0.992,0.87
TVAE_4_LR,0.958,0.802,0.0,0.0,0.0,0.147,0.0,0.0,1.0,1.0
TVAE_4_DT,0.942,0.603,0.235,0.215,0.26,0.094,0.215,0.026,0.974,0.785
TVAE_4_KNN,0.956,0.652,0.021,0.011,0.154,0.088,0.011,0.003,0.997,0.989
TVAE_4_NB,0.941,0.775,0.053,0.04,0.08,0.107,0.04,0.02,0.98,0.96
TVAE_4_SVM,0.958,0.637,0.0,0.0,0.0,0.097,0.0,0.0,1.0,1.0
TVAE_4_RF,0.958,0.802,0.22,0.141,0.5,0.25,0.141,0.006,0.994,0.859
TVAE_4_XGB,0.957,0.759,0.194,0.124,0.44,0.208,0.124,0.007,0.993,0.876
TVAE_5_LR,0.958,0.802,0.0,0.0,0.0,0.146,0.0,0.0,1.0,1.0
TVAE_5_DT,0.937,0.592,0.207,0.198,0.217,0.081,0.198,0.031,0.969,0.802
TVAE_5_KNN,0.956,0.645,0.011,0.006,0.091,0.086,0.006,0.002,0.998,0.994
TVAE_5_NB,0.94,0.774,0.038,0.028,0.057,0.106,0.028,0.02,0.98,0.972
TVAE_5_SVM,0.958,0.64,0.0,0.0,0.0,0.098,0.0,0.0,1.0,1.0
TVAE_5_RF,0.959,0.818,0.221,0.141,0.51,0.257,0.141,0.006,0.994,0.859
TVAE_5_XGB,0.957,0.766,0.188,0.119,0.447,0.201,0.119,0.006,0.994,0.881
DS_1_LR,0.958,0.799,0.0,0.0,0.0,0.149,0.0,0.0,1.0,1.0
DS_1_DT,0.936,0.6,0.226,0.226,0.226,0.086,0.226,0.034,0.966,0.774
DS_1_KNN,0.954,0.669,0.039,0.023,0.148,0.088,0.023,0.006,0.994,0.977
DS_1_NB,0.933,0.775,0.089,0.079,0.102,0.109,0.079,0.03,0.97,0.921
DS_1_SVM,0.958,0.659,0.0,0.0,0.0,0.108,0.0,0.0,1.0,1.0
DS_1_RF,0.958,0.823,0.219,0.141,0.49,0.255,0.141,0.006,0.994,0.859
DS_1_XGB,0.954,0.791,0.211,0.147,0.371,0.218,0.147,0.011,0.989,0.853
DS_2_LR,0.958,0.799,0.0,0.0,0.0,0.147,0.0,0.0,1.0,1.0
DS_2_DT,0.937,0.663,0.306,0.333,0.282,0.131,0.333,0.037,0.963,0.667
DS_2_KNN,0.954,0.665,0.02,0.011,0.091,0.089,0.011,0.005,0.995,0.989
DS_2_NB,0.935,0.777,0.132,0.119,0.148,0.114,0.119,0.03,0.97,0.881
DS_2_SVM,0.958,0.648,0.0,0.0,0.0,0.1,0.0,0.0,1.0,1.0
DS_2_RF,0.958,0.82,0.225,0.147,0.481,0.249,0.147,0.007,0.993,0.853
DS_2_XGB,0.956,0.781,0.235,0.164,0.414,0.22,0.164,0.01,0.99,0.836
DS_3_LR,0.958,0.799,0.0,0.0,0.0,0.146,0.0,0.0,1.0,1.0
DS_3_DT,0.938,0.619,0.258,0.26,0.256,0.102,0.26,0.033,0.967,0.74
DS_3_KNN,0.954,0.651,0.02,0.011,0.095,0.082,0.011,0.005,0.995,0.989
DS_3_NB,0.934,0.774,0.119,0.107,0.135,0.109,0.107,0.03,0.97,0.893
DS_3_SVM,0.958,0.647,0.0,0.0,0.0,0.098,0.0,0.0,1.0,1.0
DS_3_RF,0.958,0.819,0.233,0.153,0.491,0.25,0.153,0.007,0.993,0.847
DS_3_XGB,0.955,0.795,0.18,0.119,0.375,0.215,0.119,0.009,0.991,0.881
DS_4_LR,0.958,0.799,0.0,0.0,0.0,0.144,0.0,0.0,1.0,1.0
DS_4_DT,0.937,0.617,0.251,0.254,0.249,0.1,0.254,0.033,0.967,0.746
DS_4_KNN,0.955,0.656,0.04,0.023,0.174,0.085,0.023,0.005,0.995,0.977
DS_4_NB,0.934,0.775,0.084,0.073,0.098,0.108,0.073,0.029,0.971,0.927
DS_4_SVM,0.958,0.642,0.0,0.0,0.0,0.096,0.0,0.0,1.0,1.0
DS_4_RF,0.958,0.819,0.226,0.147,0.491,0.251,0.147,0.007,0.993,0.853
DS_4_XGB,0.954,0.787,0.211,0.147,0.377,0.226,0.147,0.011,0.989,0.853
DS_5_LR,0.958,0.798,0.0,0.0,0.0,0.144,0.0,0.0,1.0,1.0
DS_5_DT,0.939,0.632,0.269,0.271,0.267,0.11,0.271,0.032,0.968,0.729
DS_5_KNN,0.955,0.668,0.04,0.023,0.182,0.087,0.023,0.004,0.996,0.977
DS_5_NB,0.935,0.775,0.132,0.119,0.148,0.111,0.119,0.03,0.97,0.881
DS_5_SVM,0.958,0.661,0.0,0.0,0.0,0.108,0.0,0.0,1.0,1.0
DS_5_RF,0.959,0.814,0.228,0.147,0.51,0.263,0.147,0.006,0.994,0.853
DS_5_XGB,0.956,0.801,0.182,0.119,0.389,0.231,0.119,0.008,0.992,0.881
GReaT_1_LR,0.958,0.798,0.0,0.0,0.0,0.146,0.0,0.0,1.0,1.0
GReaT_1_DT,0.94,0.624,0.27,0.266,0.275,0.109,0.266,0.03,0.97,0.734
GReaT_1_KNN,0.954,0.659,0.02,0.011,0.095,0.085,0.011,0.005,0.995,0.989
GReaT_1_NB,0.937,0.773,0.082,0.068,0.103,0.107,0.068,0.025,0.975,0.932
GReaT_1_SVM,0.958,0.632,0.0,0.0,0.0,0.101,0.0,0.0,1.0,1.0
GReaT_1_RF,0.958,0.809,0.233,0.153,0.491,0.249,0.153,0.007,0.993,0.847
GReaT_1_XGB,0.956,0.789,0.222,0.153,0.409,0.208,0.153,0.01,0.99,0.847
GReaT_2_LR,0.958,0.799,0.0,0.0,0.0,0.145,0.0,0.0,1.0,1.0
GReaT_2_DT,0.944,0.63,0.292,0.277,0.308,0.121,0.277,0.027,0.973,0.723
GReaT_2_KNN,0.955,0.66,0.01,0.006,0.056,0.085,0.006,0.004,0.996,0.994
GReaT_2_NB,0.941,0.773,0.08,0.062,0.113,0.107,0.062,0.021,0.979,0.938
GReaT_2_SVM,0.958,0.629,0.0,0.0,0.0,0.103,0.0,0.0,1.0,1.0
GReaT_2_RF,0.959,0.804,0.228,0.147,0.51,0.236,0.147,0.006,0.994,0.853
GReaT_2_XGB,0.955,0.787,0.186,0.124,0.367,0.198,0.124,0.009,0.991,0.876
GReaT_3_LR,0.958,0.798,0.0,0.0,0.0,0.145,0.0,0.0,1.0,1.0
GReaT_3_DT,0.939,0.618,0.257,0.254,0.26,0.102,0.254,0.031,0.969,0.746
GReaT_3_KNN,0.955,0.642,0.01,0.006,0.067,0.077,0.006,0.003,0.997,0.994
GReaT_3_NB,0.933,0.765,0.107,0.096,0.121,0.107,0.096,0.03,0.97,0.904
GReaT_3_SVM,0.958,0.619,0.0,0.0,0.0,0.096,0.0,0.0,1.0,1.0
GReaT_3_RF,0.959,0.814,0.228,0.147,0.51,0.237,0.147,0.006,0.994,0.853
GReaT_3_XGB,0.955,0.764,0.173,0.113,0.37,0.189,0.113,0.008,0.992,0.887
GReaT_4_LR,0.958,0.799,0.0,0.0,0.0,0.145,0.0,0.0,1.0,1.0
GReaT_4_DT,0.939,0.613,0.246,0.237,0.255,0.098,0.237,0.03,0.97,0.763
GReaT_4_KNN,0.956,0.641,0.011,0.006,0.083,0.078,0.006,0.003,0.997,0.994
GReaT_4_NB,0.937,0.764,0.101,0.085,0.124,0.106,0.085,0.026,0.974,0.915
GReaT_4_SVM,0.958,0.634,0.0,0.0,0.0,0.101,0.0,0.0,1.0,1.0
GReaT_4_RF,0.96,0.799,0.232,0.147,0.553,0.243,0.147,0.005,0.995,0.853
GReaT_4_XGB,0.957,0.76,0.228,0.153,0.45,0.205,0.153,0.008,0.992,0.847
GReaT_5_LR,0.958,0.798,0.0,0.0,0.0,0.144,0.0,0.0,1.0,1.0
GReaT_5_DT,0.941,0.597,0.231,0.215,0.25,0.09,0.215,0.028,0.972,0.785
GReaT_5_KNN,0.956,0.634,0.011,0.006,0.091,0.075,0.006,0.002,0.998,0.994
GReaT_5_NB,0.939,0.762,0.078,0.062,0.106,0.105,0.062,0.023,0.977,0.938
GReaT_5_SVM,0.958,0.615,0.0,0.0,0.0,0.096,0.0,0.0,1.0,1.0
GReaT_5_RF,0.96,0.784,0.232,0.147,0.553,0.221,0.147,0.005,0.995,0.853
GReaT_5_XGB,0.955,0.737,0.174,0.113,0.377,0.185,0.113,0.008,0.992,0.887
Tabula_1_LR,0.958,0.799,0.0,0.0,0.0,0.145,0.0,0.0,1.0,1.0
Tabula_1_DT,0.942,0.615,0.255,0.237,0.275,0.104,0.237,0.027,0.973,0.763
Tabula_1_KNN,0.954,0.679,0.084,0.051,0.243,0.099,0.051,0.007,0.993,0.949
Tabula_1_NB,0.949,0.769,0.009,0.006,0.025,0.105,0.006,0.01,0.99,0.994
Tabula_1_SVM,0.958,0.659,0.0,0.0,0.0,0.098,0.0,0.0,1.0,1.0
Tabula_1_RF,0.957,0.818,0.222,0.147,0.456,0.264,0.147,0.008,0.992,0.853
Tabula_1_XGB,0.957,0.786,0.26,0.181,0.464,0.216,0.181,0.009,0.991,0.819
Tabula_2_LR,0.958,0.799,0.0,0.0,0.0,0.145,0.0,0.0,1.0,1.0
Tabula_2_DT,0.94,0.616,0.255,0.249,0.262,0.103,0.249,0.03,0.97,0.751
Tabula_2_KNN,0.954,0.682,0.084,0.051,0.243,0.1,0.051,0.007,0.993,0.949
Tabula_2_NB,0.949,0.765,0.009,0.006,0.025,0.103,0.006,0.01,0.99,0.994
Tabula_2_SVM,0.958,0.653,0.0,0.0,0.0,0.101,0.0,0.0,1.0,1.0
Tabula_2_RF,0.958,0.826,0.237,0.158,0.475,0.262,0.158,0.008,0.992,0.842
Tabula_2_XGB,0.956,0.794,0.225,0.153,0.429,0.213,0.153,0.009,0.991,0.847
Tabula_3_LR,0.958,0.797,0.0,0.0,0.0,0.143,0.0,0.0,1.0,1.0
Tabula_3_DT,0.942,0.605,0.239,0.22,0.262,0.098,0.22,0.027,0.973,0.78
Tabula_3_KNN,0.953,0.681,0.066,0.04,0.2,0.102,0.04,0.007,0.993,0.96
Tabula_3_NB,0.949,0.763,0.009,0.006,0.025,0.102,0.006,0.01,0.99,0.994
Tabula_3_SVM,0.958,0.65,0.0,0.0,0.0,0.101,0.0,0.0,1.0,1.0
Tabula_3_RF,0.957,0.817,0.215,0.141,0.446,0.253,0.141,0.008,0.992,0.859
Tabula_3_XGB,0.953,0.785,0.201,0.141,0.347,0.208,0.141,0.012,0.988,0.859
Tabula_4_LR,0.958,0.797,0.0,0.0,0.0,0.145,0.0,0.0,1.0,1.0
Tabula_4_DT,0.94,0.625,0.269,0.266,0.272,0.109,0.266,0.031,0.969,0.734
Tabula_4_KNN,0.955,0.678,0.068,0.04,0.241,0.097,0.04,0.005,0.995,0.96
Tabula_4_NB,0.949,0.766,0.009,0.006,0.024,0.103,0.006,0.01,0.99,0.994
Tabula_4_SVM,0.958,0.639,0.0,0.0,0.0,0.099,0.0,0.0,1.0,1.0
Tabula_4_RF,0.957,0.819,0.223,0.147,0.464,0.263,0.147,0.007,0.993,0.853
Tabula_4_XGB,0.954,0.783,0.19,0.13,0.354,0.21,0.13,0.01,0.99,0.87
Tabula_5_LR,0.958,0.797,0.0,0.0,0.0,0.145,0.0,0.0,1.0,1.0
Tabula_5_DT,0.937,0.622,0.25,0.254,0.246,0.101,0.254,0.034,0.966,0.746
Tabula_5_KNN,0.955,0.674,0.069,0.04,0.259,0.097,0.04,0.005,0.995,0.96
Tabula_5_NB,0.949,0.766,0.018,0.011,0.048,0.103,0.011,0.01,0.99,0.989
Tabula_5_SVM,0.958,0.629,0.0,0.0,0.0,0.097,0.0,0.0,1.0,1.0
Tabula_5_RF,0.957,0.826,0.234,0.158,0.452,0.261,0.158,0.008,0.992,0.842
Tabula_5_XGB,0.954,0.798,0.23,0.164,0.387,0.223,0.164,0.011,0.989,0.836
TabDDPM_1_LR,0.958,0.799,0.0,0.0,0.0,0.14,0.0,0.0,1.0,1.0
TabDDPM_1_DT,0.938,0.613,0.246,0.243,0.25,0.097,0.243,0.032,0.968,0.757
TabDDPM_1_KNN,0.955,0.669,0.049,0.028,0.192,0.09,0.028,0.005,0.995,0.972
TabDDPM_1_NB,0.938,0.773,0.07,0.056,0.093,0.106,0.056,0.024,0.976,0.944
TabDDPM_1_SVM,0.958,0.632,0.0,0.0,0.0,0.099,0.0,0.0,1.0,1.0
TabDDPM_1_RF,0.958,0.813,0.234,0.153,0.5,0.261,0.153,0.007,0.993,0.847
TabDDPM_1_XGB,0.957,0.786,0.245,0.169,0.441,0.23,0.169,0.009,0.991,0.831
TabDDPM_2_LR,0.958,0.795,0.0,0.0,0.0,0.136,0.0,0.0,1.0,1.0
TabDDPM_2_DT,0.941,0.636,0.29,0.288,0.291,0.12,0.288,0.03,0.97,0.712
TabDDPM_2_KNN,0.955,0.675,0.049,0.028,0.192,0.098,0.028,0.005,0.995,0.972
TabDDPM_2_NB,0.937,0.767,0.043,0.034,0.058,0.102,0.034,0.024,0.976,0.966
TabDDPM_2_SVM,0.958,0.632,0.0,0.0,0.0,0.098,0.0,0.0,1.0,1.0
TabDDPM_2_RF,0.957,0.821,0.229,0.153,0.458,0.258,0.153,0.008,0.992,0.847
TabDDPM_2_XGB,0.956,0.78,0.243,0.169,0.429,0.217,0.169,0.01,0.99,0.831
TabDDPM_3_LR,0.958,0.79,0.0,0.0,0.0,0.13,0.0,0.0,1.0,1.0
TabDDPM_3_DT,0.94,0.621,0.264,0.26,0.267,0.105,0.26,0.031,0.969,0.74
TabDDPM_3_KNN,0.956,0.678,0.051,0.028,0.25,0.098,0.028,0.004,0.996,0.972
TabDDPM_3_NB,0.937,0.76,0.036,0.028,0.049,0.099,0.028,0.024,0.976,0.972
TabDDPM_3_SVM,0.958,0.62,0.0,0.0,0.0,0.093,0.0,0.0,1.0,1.0
TabDDPM_3_RF,0.957,0.827,0.23,0.153,0.466,0.254,0.153,0.008,0.992,0.847
TabDDPM_3_XGB,0.957,0.783,0.233,0.158,0.444,0.237,0.158,0.009,0.991,0.842
TabDDPM_4_LR,0.958,0.787,0.0,0.0,0.0,0.127,0.0,0.0,1.0,1.0
TabDDPM_4_DT,0.935,0.607,0.233,0.237,0.228,0.09,0.237,0.035,0.965,0.763
TabDDPM_4_KNN,0.956,0.665,0.061,0.034,0.286,0.097,0.034,0.004,0.996,0.966
TabDDPM_4_NB,0.939,0.756,0.037,0.028,0.054,0.097,0.028,0.021,0.979,0.972
TabDDPM_4_SVM,0.958,0.605,0.0,0.0,0.0,0.089,0.0,0.0,1.0,1.0
TabDDPM_4_RF,0.957,0.799,0.223,0.147,0.464,0.245,0.147,0.007,0.993,0.853
TabDDPM_4_XGB,0.957,0.79,0.221,0.147,0.448,0.234,0.147,0.008,0.992,0.853
TabDDPM_5_LR,0.958,0.784,0.0,0.0,0.0,0.125,0.0,0.0,1.0,1.0
TabDDPM_5_DT,0.937,0.609,0.237,0.237,0.237,0.093,0.237,0.033,0.967,0.763
TabDDPM_5_KNN,0.957,0.662,0.061,0.034,0.316,0.098,0.034,0.003,0.997,0.966
TabDDPM_5_NB,0.94,0.752,0.038,0.028,0.057,0.096,0.028,0.02,0.98,0.972
TabDDPM_5_SVM,0.958,0.604,0.0,0.0,0.0,0.086,0.0,0.0,1.0,1.0
TabDDPM_5_RF,0.957,0.811,0.223,0.147,0.464,0.25,0.147,0.007,0.993,0.853
TabDDPM_5_XGB,0.956,0.772,0.237,0.164,0.426,0.214,0.164,0.01,0.99,0.836
