age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,creat_type_cd,slot_id,u_refreshTimes,u_feedLifeCycle,label
7,2,21,109,2,32,3,21,290,2107,8,13,9,17,0
8,2,30,109,5,16,5,13,301,2400,8,54,9,17,0
8,2,30,104,5,16,5,13,218,2023,8,60,9,17,0
3,2,21,107,4,16,5,19,216,2118,8,60,3,17,0
7,2,27,370,2,31,3,20,266,2124,8,60,9,17,0
3,3,41,110,5,31,3,29,268,2024,8,60,9,17,0
8,2,39,106,4,18,4,20,345,2413,8,54,9,14,0
5,2,41,444,4,16,5,20,238,1755,8,39,0,16,0
6,4,33,318,3,27,2,11,230,2403,8,62,9,11,0
6,4,33,318,3,28,2,11,349,1896,8,18,0,13,0
2,4,33,119,3,21,2,17,126,2385,8,27,9,17,0
8,4,39,204,3,27,2,31,243,2028,8,60,9,17,0
4,2,41,162,4,31,3,20,274,2038,8,60,9,17,0
3,2,38,122,2,21,4,23,252,1766,5,28,9,17,0
3,3,41,323,5,20,6,29,258,1669,8,39,9,16,0
3,2,31,262,4,16,5,19,166,2123,8,40,9,17,0
8,2,42,161,5,16,5,13,299,2114,8,32,0,16,0
3,2,42,174,5,31,3,29,309,2043,8,37,9,17,0
3,2,41,309,5,21,6,17,259,2033,8,17,9,17,0
3,4,40,277,2,21,4,15,339,2015,8,29,9,17,0
8,2,30,252,4,16,5,28,270,2515,8,41,0,11,0
8,2,42,371,4,16,5,20,217,2117,8,35,3,16,0
7,2,40,115,5,30,3,29,294,2025,8,61,9,17,0
8,2,22,120,4,31,3,13,276,2123,8,38,9,17,0
3,3,22,224,4,32,3,19,140,2116,8,61,3,17,0
3,2,40,129,3,21,8,24,213,1457,8,28,9,17,0
3,2,40,434,5,11,4,23,211,1496,8,28,9,11,0
3,2,39,248,5,11,8,29,233,1443,8,27,9,17,0
5,2,18,246,2,34,7,20,235,1624,8,12,9,17,0
8,2,30,105,4,16,5,21,197,2405,8,53,3,14,0
8,2,21,114,5,31,5,31,272,2034,8,39,3,14,0
3,2,39,442,2,21,4,20,324,1623,8,28,9,17,0
2,2,30,105,4,16,5,17,200,2393,8,40,3,17,0
9,2,29,392,4,16,5,19,224,2129,8,34,0,16,0
7,2,30,109,5,30,3,29,283,2412,8,22,9,17,0
6,4,33,159,3,27,2,11,319,1877,8,18,0,15,0
2,2,40,105,2,21,5,23,309,2391,8,12,9,17,0
7,2,18,334,5,32,6,20,266,2125,8,34,0,16,0
8,2,30,99,5,31,5,21,269,2389,8,12,9,17,0
2,2,40,112,5,31,3,29,325,2196,8,60,9,17,0
5,2,21,118,2,16,5,31,316,1624,8,39,3,16,0
4,2,34,164,5,16,5,30,201,1596,8,39,0,16,0
9,2,18,431,2,34,7,20,249,2415,8,37,9,17,0
3,2,42,402,4,23,7,19,258,2121,8,35,0,16,0
9,2,16,126,4,16,5,20,198,2397,8,53,3,16,0
7,2,33,109,4,16,4,16,333,1836,8,18,0,16,0
7,2,31,255,5,30,3,29,208,2121,8,60,9,17,0
7,2,26,116,5,31,3,35,354,2032,8,13,9,17,0
7,2,43,355,2,23,7,20,248,2118,8,34,0,16,0
2,2,30,424,5,16,5,31,268,2408,8,59,4,17,0
3,2,13,395,4,34,7,21,268,2117,8,13,7,17,0
8,2,33,114,2,16,5,11,346,2419,8,17,0,17,0
7,2,42,134,4,31,3,29,298,2046,8,13,9,17,0
7,2,45,371,4,32,6,19,246,2120,8,33,0,16,0
7,2,40,433,2,34,7,21,176,2413,8,12,9,17,0
7,2,30,128,2,31,3,21,169,2395,8,22,9,17,0
7,2,27,103,2,17,5,21,272,2409,8,66,9,17,0
5,2,17,429,2,34,7,20,242,1596,8,12,0,16,0
8,2,17,111,4,16,5,28,201,2399,8,42,5,11,0
7,2,39,126,2,16,7,31,225,1601,8,27,9,17,0
7,3,22,302,5,32,3,13,143,2128,8,41,9,17,0
3,2,42,109,5,31,3,31,264,2031,8,60,9,17,0
7,3,39,129,5,31,3,29,280,2012,8,12,9,17,0
5,2,22,410,4,24,6,19,242,2113,8,37,0,16,0
8,2,26,368,4,16,5,19,299,2118,8,37,3,10,0
7,2,30,115,4,31,3,29,287,2517,8,21,9,17,0
8,2,41,296,5,17,4,16,214,1872,8,38,0,16,0
6,4,33,109,2,21,2,11,210,2411,8,17,3,17,0
7,2,41,118,2,31,3,13,280,2028,8,61,9,17,0
5,2,41,427,2,34,7,21,277,1606,8,12,9,17,0
3,2,39,122,2,21,4,31,226,1479,8,27,9,17,0
3,2,41,176,5,21,4,30,217,1470,8,27,9,17,0
7,2,40,177,2,31,3,29,292,2026,8,12,9,17,0
3,4,33,319,3,27,2,11,325,2566,8,41,0,11,0
7,2,43,278,5,31,3,28,264,2118,8,41,9,17,0
3,2,40,117,5,31,6,28,274,2029,8,40,9,17,0
6,4,40,316,3,21,2,11,251,2399,8,62,9,17,0
3,4,33,318,5,21,5,11,265,2222,8,60,9,12,0
6,4,33,323,3,27,2,11,324,2454,8,62,0,13,0
7,2,39,112,4,31,5,29,330,2207,8,12,1,17,0
3,2,42,447,5,11,8,25,214,2010,8,28,9,17,0
3,4,33,204,2,21,2,22,218,1133,8,17,9,17,0
7,2,43,327,2,16,5,20,217,2121,8,39,3,17,0
5,2,42,379,2,31,6,21,275,2125,8,40,9,17,0
7,2,44,290,4,16,6,19,211,2125,8,37,0,16,0
7,2,40,129,5,30,3,30,301,2037,8,13,9,17,0
8,2,43,135,2,34,7,20,317,2406,8,39,3,17,0
3,2,41,330,5,21,6,20,317,1587,8,40,0,16,0
3,2,33,162,5,31,3,32,279,2033,8,60,9,17,0
2,3,22,172,2,31,5,13,267,2119,8,42,3,17,0
7,2,29,311,4,21,4,23,336,2110,8,43,9,10,0
2,4,27,114,4,31,3,20,281,2119,8,13,9,17,0
3,2,40,110,5,21,8,31,273,2028,8,27,9,17,1
8,2,39,110,4,17,4,16,282,2405,8,40,0,15,0
5,2,25,424,2,34,7,20,221,1602,8,12,0,17,0
3,2,41,319,2,23,6,32,313,1628,8,39,0,16,0
6,4,33,321,3,27,2,11,238,2235,8,50,0,15,0
7,2,41,114,5,30,3,29,278,2043,8,12,9,17,0
2,3,22,274,5,31,3,29,249,2121,8,22,9,17,0
6,4,33,109,3,27,2,11,313,2407,8,50,3,17,0
3,2,21,122,5,30,3,29,284,2233,8,21,9,17,0
6,4,33,319,3,27,2,11,216,2419,8,54,0,15,0
7,2,40,107,5,21,6,35,288,2403,8,59,9,17,0
6,4,33,318,3,21,2,30,345,1849,5,18,0,15,0
7,2,38,402,2,11,8,24,286,1614,8,12,9,17,0
8,4,41,126,2,22,4,31,351,1415,8,27,9,17,0
6,4,33,318,3,27,2,11,249,2219,8,22,9,17,0
2,2,19,242,4,16,5,19,304,2122,8,38,0,16,0
7,2,43,399,2,34,7,19,257,2119,8,42,9,17,0
7,2,21,385,4,32,3,19,281,2124,8,41,9,17,0
3,4,33,113,3,21,2,12,250,2411,8,60,9,16,0
3,2,25,112,5,18,4,20,301,1875,8,39,0,15,0
7,2,40,356,2,24,8,29,279,1608,8,13,9,17,0
5,2,41,130,2,16,7,21,108,2414,5,52,9,17,0
3,2,40,161,5,31,3,29,325,1591,8,17,9,17,0
3,2,40,381,2,11,8,17,271,1588,8,27,9,17,0
7,2,27,396,2,34,7,21,278,2393,8,12,9,17,0
3,2,39,355,2,20,6,32,270,1573,8,42,9,17,0
6,4,33,106,3,17,2,31,206,1899,8,28,0,14,0
8,2,20,387,2,16,5,21,168,2119,8,28,3,17,0
8,2,41,114,4,31,5,31,259,2115,8,39,9,17,0
5,3,40,208,5,17,4,20,296,1832,8,37,0,16,0
8,2,30,110,5,30,3,31,330,2401,8,22,9,17,0
8,2,31,106,4,16,5,21,302,2113,8,40,3,17,0
3,2,40,193,2,30,6,28,277,2038,8,12,9,17,0
8,2,40,114,2,31,3,21,298,2392,8,12,9,17,0
4,2,44,393,4,32,3,21,180,2116,8,13,9,17,0
3,4,27,315,3,21,2,30,309,1827,8,39,0,16,0
9,2,16,413,2,34,7,20,230,2123,8,12,3,17,0
5,2,20,267,4,16,5,13,233,2116,8,39,0,16,0
3,2,33,108,4,16,4,16,289,2406,8,43,3,11,0
3,2,21,391,4,16,5,20,247,2125,8,36,9,17,0
8,2,34,118,5,30,3,29,289,2116,8,41,9,17,0
7,2,41,121,5,31,6,32,327,2035,8,13,9,17,0
8,2,41,116,5,31,3,20,224,2029,8,17,9,17,0
7,2,30,109,2,16,5,20,301,2126,8,40,0,17,0
7,3,30,286,5,31,3,19,259,2123,8,41,9,17,0
3,2,41,112,4,21,4,16,256,2024,8,27,9,17,0
6,4,34,318,2,21,2,11,198,2422,8,62,3,17,0
7,4,30,101,3,21,3,17,274,2029,8,60,9,17,0
9,2,27,130,2,34,7,21,318,2396,5,11,3,17,0
8,2,41,125,5,32,6,29,277,1177,8,38,9,17,0
7,2,40,441,5,31,3,32,296,2032,8,60,9,17,0
8,2,31,107,4,16,5,13,303,2407,8,60,9,17,0
7,2,46,182,5,32,6,20,232,1641,8,37,0,16,0
8,3,31,112,4,16,5,13,296,1499,8,39,3,11,0
3,4,33,104,4,22,2,31,343,1831,8,61,9,17,0
3,2,22,371,4,17,6,31,191,2120,8,39,9,13,0
7,2,43,443,2,34,7,20,243,2121,8,40,9,17,0
9,2,42,135,2,16,7,20,279,2421,5,53,3,17,0
8,2,46,112,4,16,6,23,307,2118,8,13,0,15,0
8,2,14,112,4,16,5,13,266,2389,8,41,9,17,0
9,2,40,420,4,17,4,20,229,2406,8,27,0,15,0
8,3,39,303,5,22,4,27,336,1553,8,39,0,15,0
3,2,39,132,2,34,7,21,265,1588,8,12,9,17,0
6,4,33,109,3,31,2,11,273,2415,8,60,9,17,0
7,2,40,401,4,34,7,29,250,1625,8,12,9,17,0
5,2,41,127,2,34,7,20,292,1583,8,59,9,17,0
7,3,20,419,5,31,3,29,264,1145,8,61,9,17,0
3,2,41,279,4,21,6,31,255,1698,8,41,0,16,0
3,2,41,313,5,22,6,20,241,1649,8,39,9,17,0
9,2,39,112,4,21,7,21,269,2528,8,54,9,17,0
5,2,17,140,2,34,7,20,302,2411,5,52,5,17,0
3,2,42,160,5,31,6,19,293,1576,8,17,9,17,0
7,3,43,110,4,32,3,21,294,2116,8,12,9,17,0
8,2,41,132,4,16,7,20,204,2410,8,52,3,17,0
5,2,22,378,2,16,5,21,304,2115,8,38,3,17,0
8,4,33,319,3,21,2,31,279,2409,8,18,9,14,0
7,2,41,106,2,32,3,29,163,2377,8,12,9,17,0
5,2,25,435,4,24,4,20,228,1602,8,41,0,16,0
9,2,27,394,4,16,7,21,260,2404,5,53,3,17,0
7,2,41,121,2,32,3,29,334,2387,8,13,9,17,0
8,2,30,117,4,27,5,11,329,2421,8,54,9,15,0
8,2,22,264,4,16,5,13,306,2123,8,38,3,17,0
2,2,22,187,5,23,5,19,219,2123,8,37,0,16,0
8,2,22,110,4,16,5,21,294,2119,8,53,3,17,0
7,2,30,118,5,31,3,29,268,2118,8,61,9,17,0
2,3,18,121,2,17,4,20,176,2424,5,53,5,17,0
2,2,31,102,4,16,5,20,326,2117,8,42,3,16,0
3,2,41,198,5,32,6,30,300,2039,8,18,9,17,0
3,2,28,117,4,16,5,21,290,2119,8,37,3,11,0
4,2,28,114,5,30,3,13,244,2123,8,22,9,17,0
8,2,30,115,2,31,3,13,280,2114,8,13,9,17,0
3,2,39,426,4,11,5,17,335,1485,8,28,9,17,0
7,2,21,121,4,34,5,21,269,2120,8,17,5,17,0
3,2,41,253,5,21,6,22,215,2016,8,28,9,17,0
5,2,41,120,2,16,5,20,311,1595,8,12,9,17,0
8,2,31,107,4,16,5,21,152,2115,8,38,3,17,0
2,2,42,213,5,31,6,13,236,2119,8,17,9,17,0
8,2,30,110,2,31,3,21,271,2410,8,12,5,17,0
6,4,33,318,3,27,2,11,327,2222,8,18,9,17,0
8,2,27,351,2,16,5,13,169,1182,8,17,9,17,0
9,2,16,413,2,34,7,20,209,2411,5,53,1,17,0
8,2,17,117,4,16,5,20,325,2410,5,67,2,14,0
2,2,40,106,5,31,3,17,324,2033,8,22,9,17,0
3,4,18,315,3,27,2,31,217,2125,8,60,0,15,0
8,2,40,111,4,17,5,20,303,2414,8,54,0,14,0
8,2,21,176,4,16,5,19,224,1593,8,35,0,16,0
3,2,40,178,5,22,4,31,339,1470,8,28,0,10,0
3,2,41,433,2,21,6,29,260,1536,8,69,9,17,0
5,4,41,115,4,17,5,31,110,2406,8,54,9,11,0
2,2,40,111,2,17,5,30,338,1548,8,27,9,17,0
7,2,40,288,2,17,4,20,243,1651,8,39,0,15,0
7,2,41,179,5,31,6,29,264,2049,8,41,9,10,0
5,2,16,121,2,17,4,20,348,1585,8,27,9,17,0
3,2,41,399,3,21,6,20,228,1699,8,27,0,11,0
8,4,30,148,5,19,5,28,271,2386,8,59,9,17,0
7,2,21,172,4,31,3,13,169,2118,8,13,9,17,0
7,2,12,119,2,34,7,21,120,2407,8,52,9,17,0
2,2,41,427,2,11,6,20,269,1596,8,27,9,17,0
7,2,40,431,2,21,7,20,290,2035,8,27,9,17,0
7,2,30,116,2,30,3,28,281,2403,8,12,9,17,0
8,4,33,107,3,31,3,11,234,2407,8,17,9,17,0
7,2,20,424,5,31,6,31,327,1138,8,27,9,17,0
3,4,23,114,3,27,2,11,237,1209,8,17,9,17,0
8,2,34,108,4,16,5,20,287,2402,8,41,3,17,0
3,2,27,220,5,17,6,19,216,2119,8,35,0,16,0
4,2,30,116,4,17,5,21,210,2427,8,53,3,17,0
3,2,17,427,4,21,4,28,341,1608,8,12,3,17,0
6,4,33,109,3,27,5,11,329,2415,8,22,9,11,0
3,2,42,127,5,31,3,29,267,2119,8,60,9,17,0
7,2,43,281,4,24,6,32,240,1664,8,40,9,16,0
8,4,33,316,3,27,2,11,266,2120,8,39,0,11,0
8,2,28,115,5,15,5,28,161,2114,8,36,9,16,0
7,2,27,143,2,34,7,21,173,1525,8,13,9,17,0
3,2,18,153,4,16,5,13,283,1624,8,54,9,15,0
8,2,27,125,5,31,3,13,315,1611,8,40,9,17,0
7,2,40,119,2,16,5,21,327,1565,8,53,9,17,0
3,2,27,119,4,16,5,21,330,1878,8,40,9,17,0
9,2,17,139,2,34,7,21,211,2416,5,52,3,17,0
7,2,42,116,4,31,3,13,267,2119,8,40,9,17,0
5,2,40,113,2,16,5,20,226,1856,8,37,5,17,0
3,2,41,393,5,31,6,29,259,1628,8,39,9,17,0
3,2,40,445,5,11,8,29,225,1511,8,27,9,17,0
5,2,28,422,2,34,7,20,170,2122,8,37,0,16,0
3,2,40,108,4,21,6,23,328,2398,8,27,9,17,0
7,2,40,121,4,11,3,23,336,1597,8,12,9,17,0
7,4,33,198,5,21,2,13,236,2377,8,12,9,17,0
7,2,13,125,2,34,5,20,214,1625,8,13,9,17,0
5,2,41,137,2,34,7,20,212,2421,5,52,9,11,0
6,2,40,107,2,21,8,29,285,2385,8,27,9,17,0
5,2,19,416,2,16,5,20,201,2116,8,33,3,16,0
2,2,39,117,4,11,8,28,273,1531,8,28,9,17,0
3,2,27,116,5,30,3,29,312,2048,8,58,9,17,0
8,2,28,351,2,16,5,20,298,2119,8,17,5,17,0
6,4,42,314,3,21,2,30,310,1532,8,40,0,16,0
8,4,33,316,5,16,5,11,325,1596,8,36,0,15,0
5,2,27,423,2,34,7,21,192,2115,8,52,3,17,0
7,2,42,401,2,23,6,19,290,1693,8,41,9,17,0
7,2,28,171,5,31,3,29,314,2050,8,37,9,17,0
8,2,21,167,4,16,5,20,298,2122,8,38,9,17,0
5,2,40,123,2,34,4,21,125,2402,5,26,9,17,0
7,2,40,118,2,34,7,20,245,1609,8,12,9,17,0
6,4,33,324,3,27,2,11,224,1906,8,62,0,15,0
2,2,41,114,2,34,3,21,165,2390,8,13,9,17,0
3,2,39,106,2,21,2,23,345,1770,8,29,9,17,0
7,2,33,431,4,31,6,20,241,1544,5,60,3,17,0
7,3,41,124,2,34,3,21,273,1219,8,12,9,17,0
7,2,20,391,2,34,7,19,267,2120,8,39,0,16,0
7,2,42,461,4,34,7,20,244,2123,8,36,0,16,0
2,2,34,112,4,16,5,20,276,2117,8,61,3,17,0
3,2,40,134,5,31,3,29,288,2023,8,40,9,17,0
7,2,39,127,2,11,8,24,131,2027,8,12,9,17,0
8,2,26,124,2,34,5,20,213,1582,8,54,3,16,0
6,4,33,317,3,27,2,11,326,2414,8,51,6,10,0
8,2,26,102,5,16,5,21,330,2413,8,61,3,17,0
8,2,27,320,4,16,5,21,294,2382,8,39,5,17,0
7,2,21,409,2,32,3,21,180,2116,8,13,9,17,0
7,2,31,102,4,16,5,21,323,2116,5,21,3,17,0
3,2,43,402,5,22,6,19,251,1641,8,38,0,16,0
7,2,43,387,2,34,7,21,160,2401,8,12,3,17,0
9,2,40,378,2,34,7,21,264,2408,8,13,9,17,0
7,2,41,114,2,30,3,30,275,2031,8,13,9,17,0
6,4,33,103,3,27,2,11,225,2405,8,22,9,17,0
6,4,34,326,3,27,2,11,278,2226,8,51,9,12,0
5,2,27,123,2,34,7,21,265,2411,8,12,3,17,0
7,3,42,274,4,32,3,28,267,2124,8,39,9,17,0
3,2,22,181,5,31,3,19,304,2128,8,39,9,16,0
3,2,28,126,4,16,5,20,205,2109,8,38,0,11,0
3,4,33,317,3,21,2,30,258,2188,8,28,9,15,0
7,2,45,411,4,33,6,20,331,2128,8,35,3,17,0
3,2,41,107,2,21,5,17,119,2387,8,12,9,17,0
2,2,33,387,2,34,7,21,231,2411,8,13,9,17,0
5,2,44,443,2,34,7,20,289,2126,8,30,0,16,0
8,2,31,402,4,17,5,19,207,2130,8,30,0,16,0
7,2,17,415,2,34,7,20,263,2126,8,37,3,17,0
2,2,42,287,5,31,3,30,276,2037,8,13,9,17,0
3,3,40,119,2,11,8,30,258,2025,8,17,9,17,0
4,2,42,177,5,31,3,29,331,2124,8,60,9,17,0
7,2,21,283,2,31,6,17,260,2028,8,13,9,17,0
6,4,33,318,3,27,2,11,265,2401,8,50,3,17,0
7,2,43,178,2,32,6,19,286,2123,8,40,4,17,0
7,2,40,143,2,34,7,21,347,2422,8,53,9,17,0
5,2,20,288,2,16,5,20,252,2119,8,36,0,16,0
3,3,40,112,5,21,4,30,316,1172,8,17,9,17,0
6,4,33,324,3,27,2,11,142,2123,8,17,0,13,0
2,2,42,453,2,34,7,20,266,1652,8,12,9,17,0
3,2,43,308,2,32,6,29,300,2123,8,39,9,17,0
6,4,33,316,3,27,2,11,251,2253,8,42,0,16,0
7,2,41,129,2,34,7,21,259,2535,8,13,9,17,0
7,2,31,259,4,31,3,13,263,2111,8,41,3,17,0
5,2,19,174,5,16,6,20,187,1624,8,37,0,16,0
2,2,21,219,4,16,5,20,329,2124,8,38,3,17,0
7,2,39,207,5,31,3,30,296,2021,8,60,9,17,0
7,2,41,123,5,21,6,31,290,1515,8,17,9,17,0
9,2,41,429,2,34,7,20,255,1625,8,12,2,17,0
8,2,32,413,2,22,4,32,329,1511,8,44,0,10,0
5,2,14,396,2,23,6,20,279,1635,8,59,9,17,0
7,2,38,133,2,11,8,23,139,2012,8,13,9,17,0
8,2,30,107,5,30,3,13,266,2023,8,60,9,17,0
3,2,33,109,4,17,5,13,195,2400,5,53,3,11,0
4,2,21,185,5,31,3,32,297,2124,8,39,9,17,0
6,4,33,322,3,27,2,11,260,2407,8,68,9,17,0
2,2,28,259,4,16,5,21,119,2119,8,39,3,17,0
3,2,40,384,2,34,7,20,271,1594,8,38,0,17,0
8,2,19,423,5,16,5,20,305,1894,8,37,0,16,0
2,2,34,366,4,16,5,20,208,2115,8,53,3,11,0
3,4,40,117,5,11,2,23,221,1487,8,28,9,17,0
8,2,21,107,4,16,5,21,203,2406,8,41,9,17,0
7,3,22,216,5,31,3,13,251,2121,8,60,9,17,0
8,2,18,151,4,16,5,16,288,1815,8,35,0,16,0
2,2,42,132,2,34,5,21,273,2423,8,53,9,17,0
3,4,33,169,5,32,3,29,299,2028,8,17,9,17,0
8,4,33,109,4,16,5,31,319,2417,8,53,3,14,0
3,2,40,382,5,17,4,20,343,2212,8,13,9,17,0
2,2,22,370,4,16,5,21,178,2120,8,42,3,17,0
3,2,41,383,2,17,4,20,224,1187,8,27,9,17,0
8,2,30,109,4,16,5,20,206,2399,5,53,3,11,0
2,3,44,380,5,31,6,19,300,2121,8,38,9,17,0
7,2,30,100,5,31,3,29,292,2410,8,21,9,17,0
3,2,40,163,4,21,4,23,240,1562,8,59,9,17,0
3,2,41,193,5,31,3,29,264,2036,8,39,9,17,0
8,2,30,114,5,31,3,13,267,2037,8,60,9,17,0
8,2,33,114,2,34,5,21,283,2415,8,53,9,17,0
3,2,45,201,4,24,6,19,177,2128,8,38,0,16,0
5,2,40,430,2,34,7,20,230,1850,8,57,3,16,0
3,2,40,137,2,34,7,29,272,2126,8,13,9,17,0
2,2,43,225,5,30,3,29,265,2040,8,60,9,17,0
8,4,25,109,5,16,5,23,267,1208,8,53,9,15,0
3,3,43,116,2,16,5,21,204,2113,8,17,3,17,0
9,2,39,118,2,34,7,21,131,1540,8,53,9,17,0
8,2,31,119,5,16,5,29,314,2113,8,43,3,17,0
7,2,39,127,2,21,7,29,123,2396,8,12,9,17,0
7,2,42,374,4,31,3,13,321,2529,8,13,3,17,0
7,3,40,131,5,30,3,28,172,2025,8,17,9,17,0
7,4,33,110,5,31,3,13,266,2030,8,60,9,17,0
3,2,41,118,5,31,3,13,269,2040,8,60,9,17,0
7,2,41,109,4,31,5,31,326,2119,8,12,9,17,0
7,2,30,103,4,16,5,21,206,2409,8,53,3,17,0
8,2,40,108,5,21,3,31,227,2035,8,22,9,17,0
