,Accuracy,AUC,F1,Recall,Precision,AP,TPR,FPR,TNR,FNR
holdout_CTGAN_3_XGB,0.993,0.964,0.95,0.906,1.0,0.936,0.906,0.0,1.0,0.094
training_CTGAN_4_LR,0.985,0.967,0.878,0.783,1.0,0.937,0.783,0.0,1.0,0.217
training_CTGAN_4_DT,0.971,0.913,0.805,0.844,0.77,0.661,0.844,0.019,0.981,0.156
training_CTGAN_4_KNN,0.984,0.907,0.869,0.771,0.996,0.82,0.771,0.0,1.0,0.229
training_CTGAN_4_NB,0.988,0.967,0.908,0.835,0.993,0.934,0.835,0.0,1.0,0.165
training_CTGAN_4_SVM,0.993,0.965,0.947,0.9,1.0,0.934,0.9,0.0,1.0,0.1
training_CTGAN_4_RF,0.994,0.961,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
training_CTGAN_4_XGB,0.993,0.963,0.947,0.9,0.998,0.933,0.9,0.0,1.0,0.1
holdout_CTGAN_4_LR,0.985,0.966,0.878,0.783,1.0,0.937,0.783,0.0,1.0,0.217
holdout_CTGAN_4_DT,0.973,0.917,0.814,0.853,0.778,0.674,0.853,0.018,0.982,0.147
holdout_CTGAN_4_KNN,0.983,0.913,0.859,0.757,0.994,0.825,0.757,0.0,1.0,0.243
holdout_CTGAN_4_NB,0.988,0.966,0.908,0.835,0.995,0.934,0.835,0.0,1.0,0.165
holdout_CTGAN_4_SVM,0.993,0.964,0.946,0.897,1.0,0.933,0.897,0.0,1.0,0.103
holdout_CTGAN_4_RF,0.994,0.965,0.954,0.914,0.997,0.933,0.914,0.0,1.0,0.086
holdout_CTGAN_4_XGB,0.993,0.965,0.947,0.9,0.998,0.934,0.9,0.0,1.0,0.1
training_CTGAN_5_LR,0.984,0.966,0.872,0.773,1.0,0.937,0.773,0.0,1.0,0.227
training_CTGAN_5_DT,0.968,0.902,0.786,0.825,0.749,0.631,0.825,0.021,0.979,0.175
training_CTGAN_5_KNN,0.984,0.91,0.868,0.77,0.994,0.82,0.77,0.0,1.0,0.23
training_CTGAN_5_NB,0.988,0.966,0.904,0.835,0.985,0.93,0.835,0.001,0.999,0.165
training_CTGAN_5_SVM,0.993,0.963,0.946,0.897,1.0,0.933,0.897,0.0,1.0,0.103
training_CTGAN_5_RF,0.994,0.964,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
training_CTGAN_5_XGB,0.993,0.962,0.951,0.907,0.998,0.933,0.907,0.0,1.0,0.093
holdout_CTGAN_5_LR,0.984,0.965,0.873,0.775,1.0,0.936,0.775,0.0,1.0,0.225
holdout_CTGAN_5_DT,0.973,0.917,0.816,0.851,0.783,0.677,0.851,0.018,0.982,0.149
holdout_CTGAN_5_KNN,0.983,0.914,0.859,0.755,0.994,0.824,0.755,0.0,1.0,0.245
holdout_CTGAN_5_NB,0.988,0.965,0.905,0.835,0.986,0.929,0.835,0.001,0.999,0.165
holdout_CTGAN_5_SVM,0.993,0.962,0.947,0.9,1.0,0.932,0.9,0.0,1.0,0.1
holdout_CTGAN_5_RF,0.994,0.965,0.954,0.914,0.997,0.933,0.914,0.0,1.0,0.086
holdout_CTGAN_5_XGB,0.993,0.963,0.951,0.908,0.998,0.934,0.908,0.0,1.0,0.092
training_CTABGAN_1_LR,0.993,0.97,0.951,0.907,1.0,0.94,0.907,0.0,1.0,0.093
training_CTABGAN_1_DT,0.984,0.951,0.892,0.913,0.872,0.802,0.913,0.01,0.99,0.087
training_CTABGAN_1_KNN,0.984,0.912,0.869,0.768,1.0,0.827,0.768,0.0,1.0,0.232
training_CTABGAN_1_NB,0.994,0.966,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
training_CTABGAN_1_SVM,0.994,0.964,0.954,0.911,1.0,0.934,0.911,0.0,1.0,0.089
training_CTABGAN_1_RF,0.994,0.963,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
training_CTABGAN_1_XGB,0.994,0.963,0.954,0.914,0.998,0.933,0.914,0.0,1.0,0.086
holdout_CTABGAN_1_LR,0.994,0.966,0.952,0.908,1.0,0.937,0.908,0.0,1.0,0.092
holdout_CTABGAN_1_DT,0.984,0.951,0.886,0.914,0.86,0.792,0.914,0.011,0.989,0.086
holdout_CTABGAN_1_KNN,0.983,0.912,0.866,0.764,1.0,0.829,0.764,0.0,1.0,0.236
holdout_CTABGAN_1_NB,0.994,0.967,0.955,0.914,1.0,0.937,0.914,0.0,1.0,0.086
holdout_CTABGAN_1_SVM,0.993,0.962,0.951,0.907,1.0,0.933,0.907,0.0,1.0,0.093
holdout_CTABGAN_1_RF,0.994,0.958,0.953,0.914,0.995,0.928,0.914,0.0,1.0,0.086
holdout_CTABGAN_1_XGB,0.994,0.964,0.954,0.914,0.997,0.932,0.914,0.0,1.0,0.086
training_CTABGAN_2_LR,0.989,0.971,0.917,0.847,1.0,0.94,0.847,0.0,1.0,0.153
training_CTABGAN_2_DT,0.984,0.954,0.892,0.918,0.868,0.803,0.918,0.011,0.989,0.082
training_CTABGAN_2_KNN,0.984,0.913,0.87,0.77,1.0,0.828,0.77,0.0,1.0,0.23
training_CTABGAN_2_NB,0.994,0.967,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
training_CTABGAN_2_SVM,0.994,0.964,0.953,0.91,1.0,0.934,0.91,0.0,1.0,0.09
training_CTABGAN_2_RF,0.994,0.963,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
training_CTABGAN_2_XGB,0.994,0.964,0.954,0.914,0.997,0.934,0.914,0.0,1.0,0.086
holdout_CTABGAN_2_LR,0.989,0.967,0.919,0.85,1.0,0.938,0.85,0.0,1.0,0.15
holdout_CTABGAN_2_DT,0.985,0.951,0.893,0.911,0.875,0.804,0.911,0.01,0.99,0.089
holdout_CTABGAN_2_KNN,0.984,0.913,0.867,0.765,1.0,0.83,0.765,0.0,1.0,0.235
holdout_CTABGAN_2_NB,0.994,0.967,0.953,0.91,1.0,0.937,0.91,0.0,1.0,0.09
holdout_CTABGAN_2_SVM,0.993,0.963,0.95,0.906,1.0,0.935,0.906,0.0,1.0,0.094
holdout_CTABGAN_2_RF,0.994,0.96,0.953,0.914,0.995,0.93,0.914,0.0,1.0,0.086
holdout_CTABGAN_2_XGB,0.994,0.963,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
training_CTABGAN_3_LR,0.989,0.971,0.914,0.841,1.0,0.94,0.841,0.0,1.0,0.159
training_CTABGAN_3_DT,0.985,0.952,0.895,0.913,0.878,0.807,0.913,0.01,0.99,0.087
training_CTABGAN_3_KNN,0.984,0.913,0.871,0.771,1.0,0.829,0.771,0.0,1.0,0.229
training_CTABGAN_3_NB,0.994,0.967,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
training_CTABGAN_3_SVM,0.994,0.966,0.954,0.911,1.0,0.936,0.911,0.0,1.0,0.089
training_CTABGAN_3_RF,0.994,0.962,0.955,0.914,1.0,0.932,0.914,0.0,1.0,0.086
training_CTABGAN_3_XGB,0.994,0.963,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
holdout_CTABGAN_3_LR,0.989,0.968,0.913,0.84,1.0,0.938,0.84,0.0,1.0,0.16
holdout_CTABGAN_3_DT,0.984,0.952,0.891,0.914,0.868,0.8,0.914,0.01,0.99,0.086
holdout_CTABGAN_3_KNN,0.984,0.913,0.869,0.768,1.0,0.831,0.768,0.0,1.0,0.232
holdout_CTABGAN_3_NB,0.994,0.966,0.953,0.91,1.0,0.936,0.91,0.0,1.0,0.09
holdout_CTABGAN_3_SVM,0.993,0.964,0.951,0.907,1.0,0.935,0.907,0.0,1.0,0.093
holdout_CTABGAN_3_RF,0.994,0.957,0.953,0.914,0.995,0.929,0.914,0.0,1.0,0.086
holdout_CTABGAN_3_XGB,0.994,0.963,0.954,0.914,0.998,0.935,0.914,0.0,1.0,0.086
training_CTABGAN_4_LR,0.988,0.97,0.91,0.835,1.0,0.939,0.835,0.0,1.0,0.165
training_CTABGAN_4_DT,0.983,0.951,0.883,0.914,0.853,0.786,0.914,0.012,0.988,0.086
training_CTABGAN_4_KNN,0.984,0.914,0.872,0.773,1.0,0.831,0.773,0.0,1.0,0.227
training_CTABGAN_4_NB,0.994,0.966,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
training_CTABGAN_4_SVM,0.994,0.965,0.954,0.911,1.0,0.936,0.911,0.0,1.0,0.089
training_CTABGAN_4_RF,0.994,0.959,0.955,0.914,1.0,0.931,0.914,0.0,1.0,0.086
training_CTABGAN_4_XGB,0.994,0.963,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
holdout_CTABGAN_4_LR,0.989,0.967,0.911,0.837,1.0,0.937,0.837,0.0,1.0,0.163
holdout_CTABGAN_4_DT,0.982,0.945,0.873,0.903,0.845,0.769,0.903,0.012,0.988,0.097
holdout_CTABGAN_4_KNN,0.984,0.916,0.869,0.768,1.0,0.832,0.768,0.0,1.0,0.232
holdout_CTABGAN_4_NB,0.993,0.966,0.951,0.907,1.0,0.935,0.907,0.0,1.0,0.093
holdout_CTABGAN_4_SVM,0.994,0.963,0.952,0.908,1.0,0.934,0.908,0.0,1.0,0.092
holdout_CTABGAN_4_RF,0.994,0.959,0.954,0.914,0.997,0.929,0.914,0.0,1.0,0.086
holdout_CTABGAN_4_XGB,0.994,0.961,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
training_CTABGAN_5_LR,0.988,0.969,0.91,0.835,1.0,0.939,0.835,0.0,1.0,0.165
training_CTABGAN_5_DT,0.983,0.944,0.878,0.9,0.858,0.779,0.9,0.011,0.989,0.1
training_CTABGAN_5_KNN,0.984,0.915,0.872,0.773,1.0,0.832,0.773,0.0,1.0,0.227
training_CTABGAN_5_NB,0.994,0.966,0.953,0.91,1.0,0.935,0.91,0.0,1.0,0.09
training_CTABGAN_5_SVM,0.994,0.967,0.953,0.91,1.0,0.937,0.91,0.0,1.0,0.09
training_CTABGAN_5_RF,0.994,0.961,0.955,0.914,1.0,0.932,0.914,0.0,1.0,0.086
training_CTABGAN_5_XGB,0.994,0.964,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
holdout_CTABGAN_5_LR,0.988,0.966,0.91,0.835,1.0,0.937,0.835,0.0,1.0,0.165
holdout_CTABGAN_5_DT,0.982,0.944,0.878,0.9,0.857,0.778,0.9,0.011,0.989,0.1
holdout_CTABGAN_5_KNN,0.984,0.916,0.869,0.768,1.0,0.833,0.768,0.0,1.0,0.232
holdout_CTABGAN_5_NB,0.988,0.965,0.91,0.835,1.0,0.934,0.835,0.0,1.0,0.165
holdout_CTABGAN_5_SVM,0.994,0.962,0.952,0.908,1.0,0.933,0.908,0.0,1.0,0.092
holdout_CTABGAN_5_RF,0.994,0.957,0.954,0.914,0.997,0.929,0.914,0.0,1.0,0.086
holdout_CTABGAN_5_XGB,0.994,0.966,0.954,0.914,0.998,0.938,0.914,0.0,1.0,0.086
training_TVAE_1_LR,0.994,0.969,0.955,0.914,1.0,0.94,0.914,0.0,1.0,0.086
training_TVAE_1_DT,0.982,0.951,0.877,0.916,0.842,0.777,0.916,0.013,0.987,0.084
training_TVAE_1_KNN,0.984,0.911,0.874,0.777,1.0,0.828,0.777,0.0,1.0,0.223
training_TVAE_1_NB,0.994,0.965,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
training_TVAE_1_SVM,0.994,0.963,0.954,0.911,1.0,0.932,0.911,0.0,1.0,0.089
training_TVAE_1_RF,0.994,0.963,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
training_TVAE_1_XGB,0.994,0.962,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
holdout_TVAE_1_LR,0.994,0.965,0.954,0.911,1.0,0.937,0.911,0.0,1.0,0.089
holdout_TVAE_1_DT,0.984,0.952,0.889,0.914,0.865,0.796,0.914,0.011,0.989,0.086
holdout_TVAE_1_KNN,0.984,0.91,0.872,0.773,1.0,0.829,0.773,0.0,1.0,0.227
holdout_TVAE_1_NB,0.994,0.967,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
holdout_TVAE_1_SVM,0.993,0.96,0.95,0.906,1.0,0.932,0.906,0.0,1.0,0.094
holdout_TVAE_1_RF,0.994,0.962,0.954,0.914,0.997,0.929,0.914,0.0,1.0,0.086
holdout_TVAE_1_XGB,0.994,0.964,0.954,0.914,0.998,0.935,0.914,0.0,1.0,0.086
training_TVAE_2_LR,0.994,0.969,0.955,0.914,1.0,0.939,0.914,0.0,1.0,0.086
training_TVAE_2_DT,0.981,0.951,0.873,0.916,0.834,0.77,0.916,0.014,0.986,0.084
training_TVAE_2_KNN,0.984,0.911,0.875,0.778,1.0,0.828,0.778,0.0,1.0,0.222
training_TVAE_2_NB,0.994,0.965,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
training_TVAE_2_SVM,0.994,0.962,0.954,0.911,1.0,0.933,0.911,0.0,1.0,0.089
training_TVAE_2_RF,0.994,0.961,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
training_TVAE_2_XGB,0.994,0.964,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
holdout_TVAE_2_LR,0.994,0.967,0.953,0.91,1.0,0.937,0.91,0.0,1.0,0.09
holdout_TVAE_2_DT,0.981,0.949,0.871,0.913,0.833,0.766,0.913,0.014,0.986,0.087
holdout_TVAE_2_KNN,0.985,0.912,0.876,0.78,1.0,0.833,0.78,0.0,1.0,0.22
holdout_TVAE_2_NB,0.994,0.966,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
holdout_TVAE_2_SVM,0.994,0.961,0.952,0.908,1.0,0.933,0.908,0.0,1.0,0.092
holdout_TVAE_2_RF,0.994,0.962,0.954,0.914,0.997,0.93,0.914,0.0,1.0,0.086
holdout_TVAE_2_XGB,0.994,0.963,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
training_TVAE_3_LR,0.994,0.969,0.955,0.914,1.0,0.939,0.914,0.0,1.0,0.086
training_TVAE_3_DT,0.98,0.95,0.865,0.914,0.821,0.757,0.914,0.015,0.985,0.086
training_TVAE_3_KNN,0.985,0.911,0.879,0.784,1.0,0.829,0.784,0.0,1.0,0.216
training_TVAE_3_NB,0.994,0.965,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
training_TVAE_3_SVM,0.994,0.964,0.954,0.911,1.0,0.933,0.911,0.0,1.0,0.089
training_TVAE_3_RF,0.994,0.962,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
training_TVAE_3_XGB,0.994,0.964,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
holdout_TVAE_3_LR,0.994,0.967,0.953,0.91,1.0,0.937,0.91,0.0,1.0,0.09
holdout_TVAE_3_DT,0.981,0.95,0.872,0.914,0.833,0.768,0.914,0.014,0.986,0.086
holdout_TVAE_3_KNN,0.985,0.914,0.88,0.785,1.0,0.836,0.785,0.0,1.0,0.215
holdout_TVAE_3_NB,0.994,0.967,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
holdout_TVAE_3_SVM,0.994,0.963,0.952,0.908,1.0,0.934,0.908,0.0,1.0,0.092
holdout_TVAE_3_RF,0.994,0.96,0.954,0.914,0.997,0.93,0.914,0.0,1.0,0.086
holdout_TVAE_3_XGB,0.994,0.962,0.954,0.914,0.998,0.936,0.914,0.0,1.0,0.086
training_TVAE_4_LR,0.994,0.968,0.955,0.914,1.0,0.939,0.914,0.0,1.0,0.086
training_TVAE_4_DT,0.981,0.951,0.869,0.916,0.827,0.763,0.916,0.014,0.986,0.084
training_TVAE_4_KNN,0.985,0.911,0.879,0.784,1.0,0.83,0.784,0.0,1.0,0.216
training_TVAE_4_NB,0.994,0.966,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
training_TVAE_4_SVM,0.994,0.962,0.954,0.911,1.0,0.932,0.911,0.0,1.0,0.089
training_TVAE_4_RF,0.994,0.968,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
training_TVAE_4_XGB,0.994,0.962,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
holdout_TVAE_4_LR,0.994,0.967,0.953,0.91,1.0,0.937,0.91,0.0,1.0,0.09
holdout_TVAE_4_DT,0.98,0.95,0.866,0.914,0.823,0.759,0.914,0.015,0.985,0.086
holdout_TVAE_4_KNN,0.985,0.916,0.882,0.788,1.0,0.837,0.788,0.0,1.0,0.212
holdout_TVAE_4_NB,0.994,0.967,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
holdout_TVAE_4_SVM,0.993,0.963,0.951,0.907,1.0,0.934,0.907,0.0,1.0,0.093
holdout_TVAE_4_RF,0.994,0.962,0.954,0.914,0.997,0.932,0.914,0.0,1.0,0.086
holdout_TVAE_4_XGB,0.994,0.963,0.954,0.914,0.998,0.936,0.914,0.0,1.0,0.086
training_TVAE_5_LR,0.994,0.968,0.954,0.913,1.0,0.939,0.913,0.0,1.0,0.087
training_TVAE_5_DT,0.979,0.95,0.858,0.917,0.806,0.745,0.917,0.017,0.983,0.083
training_TVAE_5_KNN,0.985,0.911,0.878,0.783,1.0,0.831,0.783,0.0,1.0,0.217
training_TVAE_5_NB,0.994,0.966,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
training_TVAE_5_SVM,0.994,0.962,0.954,0.911,1.0,0.932,0.911,0.0,1.0,0.089
training_TVAE_5_RF,0.994,0.962,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
training_TVAE_5_XGB,0.994,0.965,0.954,0.914,0.997,0.935,0.914,0.0,1.0,0.086
holdout_TVAE_5_LR,0.994,0.967,0.953,0.91,1.0,0.937,0.91,0.0,1.0,0.09
holdout_TVAE_5_DT,0.978,0.949,0.855,0.914,0.804,0.741,0.914,0.017,0.983,0.086
holdout_TVAE_5_KNN,0.985,0.915,0.881,0.787,1.0,0.837,0.787,0.0,1.0,0.213
holdout_TVAE_5_NB,0.994,0.967,0.955,0.914,1.0,0.937,0.914,0.0,1.0,0.086
holdout_TVAE_5_SVM,0.993,0.963,0.951,0.907,1.0,0.934,0.907,0.0,1.0,0.093
holdout_TVAE_5_RF,0.994,0.961,0.954,0.914,0.997,0.929,0.914,0.0,1.0,0.086
holdout_TVAE_5_XGB,0.994,0.965,0.954,0.914,0.997,0.938,0.914,0.0,1.0,0.086
training_DS_1_LR,0.994,0.969,0.955,0.914,1.0,0.94,0.914,0.0,1.0,0.086
training_DS_1_DT,0.984,0.952,0.887,0.914,0.861,0.793,0.914,0.011,0.989,0.086
training_DS_1_KNN,0.984,0.912,0.869,0.768,1.0,0.826,0.768,0.0,1.0,0.232
training_DS_1_NB,0.994,0.966,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
training_DS_1_SVM,0.994,0.964,0.954,0.911,1.0,0.934,0.911,0.0,1.0,0.089
training_DS_1_RF,0.994,0.961,0.955,0.914,1.0,0.931,0.914,0.0,1.0,0.086
training_DS_1_XGB,0.994,0.962,0.954,0.914,0.998,0.935,0.914,0.0,1.0,0.086
holdout_DS_1_LR,0.994,0.967,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
holdout_DS_1_DT,0.984,0.952,0.889,0.914,0.865,0.796,0.914,0.011,0.989,0.086
holdout_DS_1_KNN,0.984,0.91,0.867,0.765,1.0,0.829,0.765,0.0,1.0,0.235
holdout_DS_1_NB,0.994,0.967,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
holdout_DS_1_SVM,0.993,0.962,0.951,0.907,1.0,0.933,0.907,0.0,1.0,0.093
holdout_DS_1_RF,0.994,0.962,0.954,0.914,0.997,0.93,0.914,0.0,1.0,0.086
holdout_DS_1_XGB,0.994,0.963,0.954,0.914,0.998,0.935,0.914,0.0,1.0,0.086
training_DS_2_LR,0.994,0.967,0.955,0.914,1.0,0.938,0.914,0.0,1.0,0.086
training_DS_2_DT,0.982,0.952,0.88,0.917,0.846,0.781,0.917,0.013,0.987,0.083
training_DS_2_KNN,0.984,0.913,0.873,0.775,1.0,0.83,0.775,0.0,1.0,0.225
training_DS_2_NB,0.994,0.965,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
training_DS_2_SVM,0.994,0.963,0.954,0.911,1.0,0.933,0.911,0.0,1.0,0.089
training_DS_2_RF,0.994,0.959,0.955,0.914,1.0,0.931,0.914,0.0,1.0,0.086
training_DS_2_XGB,0.994,0.96,0.955,0.914,1.0,0.932,0.914,0.0,1.0,0.086
holdout_DS_2_LR,0.994,0.965,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
holdout_DS_2_DT,0.984,0.952,0.892,0.914,0.871,0.802,0.914,0.01,0.99,0.086
holdout_DS_2_KNN,0.984,0.912,0.87,0.77,1.0,0.832,0.77,0.0,1.0,0.23
holdout_DS_2_NB,0.994,0.966,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
holdout_DS_2_SVM,0.993,0.961,0.951,0.907,1.0,0.933,0.907,0.0,1.0,0.093
holdout_DS_2_RF,0.994,0.963,0.954,0.914,0.997,0.93,0.914,0.0,1.0,0.086
holdout_DS_2_XGB,0.994,0.961,0.956,0.916,1.0,0.933,0.916,0.0,1.0,0.084
training_DS_3_LR,0.994,0.966,0.955,0.914,1.0,0.937,0.914,0.0,1.0,0.086
training_DS_3_DT,0.985,0.953,0.893,0.917,0.871,0.804,0.917,0.01,0.99,0.083
training_DS_3_KNN,0.984,0.915,0.874,0.777,1.0,0.833,0.777,0.0,1.0,0.223
training_DS_3_NB,0.994,0.965,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
training_DS_3_SVM,0.994,0.964,0.954,0.911,1.0,0.933,0.911,0.0,1.0,0.089
training_DS_3_RF,0.994,0.963,0.955,0.914,1.0,0.932,0.914,0.0,1.0,0.086
training_DS_3_XGB,0.994,0.96,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
