u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle,u_refreshTimes,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,cillabel,pro,label
10,17,13,11,9,5,74,9,8,11,19,949,4,1,0,0,101,1
15,16,13,12,0,-2,172,9,1,11,19,146,3,2,0,0,0,0
15,15,15,16,0,3023,38,9,1,11,19,988,11,1,0,0,0,0
14,17,13,17,5,5,72,7,6,12,19,238,5,3,0,0,0,0
16,11,15,17,9,2813,166,0,1,11,19,890,7,1,1,0,40,1
14,17,13,10,0,1,168,0,9,11,11,616,6,1,1,0,0,0
14,17,13,17,1,1606,200,0,6,13,19,551,7,1,1,0,0,0
15,16,13,16,0,4,51,9,9,11,19,1456,6,1,1,0,0,0
14,17,13,17,3,-1,58,3,9,13,19,535,7,1,0,0,0,0
16,17,13,17,3,1611,217,0,0,13,19,1280,7,4,0,0,0,0
14,17,14,17,1,1,218,0,2,13,19,215,7,1,1,0,0,0
14,15,13,15,0,4,53,5,6,13,19,838,18,1,0,0,0,0
10,15,13,17,0,2192,46,3,0,13,19,1051,2,4,0,0,0,0
14,17,14,17,2,6,29,7,9,13,19,550,9,1,0,0,0,0
14,17,14,17,7,2639,129,5,3,13,19,574,5,4,0,0,0,0
14,17,13,17,3,2,59,3,9,13,19,584,18,1,0,0,0,0
16,17,15,10,0,822,169,0,1,11,19,1277,6,1,1,0,0,0
10,17,13,17,4,864,76,0,0,11,2,980,10,4,0,0,0,0
11,17,13,11,5,2,101,7,9,11,19,1362,10,1,0,0,0,0
16,17,15,17,4,3,73,0,0,10,19,135,2,8,0,0,0,0
14,17,14,15,0,4,14,7,9,13,19,883,10,1,0,0,0,0
16,17,15,17,2,311,95,0,7,11,19,1436,7,2,0,0,0,0
16,17,13,17,4,1599,110,0,0,11,19,1420,7,1,1,0,0,0
16,17,13,11,0,-2,139,3,9,11,19,1175,7,1,1,0,0,0
14,17,14,17,2,826,12,3,1,13,19,659,19,1,0,0,0,0
14,17,13,17,2,3,99,0,9,10,19,11,6,1,1,0,0,0
14,17,14,17,7,2587,144,3,9,13,19,965,11,1,0,0,0,0
16,17,13,17,4,0,166,0,9,11,19,51,13,1,0,0,0,0
15,16,15,16,0,1246,164,0,0,11,19,965,20,1,0,0,0,0
14,11,14,17,7,11,43,0,6,13,19,863,0,9,0,0,0,0
14,17,14,11,2,2,23,7,9,10,2,563,10,1,0,0,100,1
14,17,14,17,7,1388,30,0,3,13,19,569,20,1,0,0,0,0
16,17,13,17,2,294,213,0,9,11,19,1393,13,1,0,0,0,0
11,17,13,11,0,2,55,1,9,11,19,1422,6,1,1,0,0,0
10,17,16,17,3,2802,169,0,0,11,16,869,7,1,1,0,0,0
14,17,15,17,5,5,21,0,3,13,19,848,2,3,0,0,0,0
11,17,15,10,0,5,98,0,9,10,19,1406,6,1,1,0,0,0
10,17,16,11,7,2595,155,9,9,13,19,1014,18,1,0,0,0,0
16,17,13,10,0,328,168,0,9,11,19,925,6,1,1,0,0,0
16,11,17,17,9,495,49,1,1,13,19,732,7,1,1,0,0,0
14,17,14,17,0,1,98,6,9,14,19,580,6,1,1,0,0,0
14,17,14,17,0,1,229,6,8,13,19,559,10,1,0,0,0,0
16,17,13,17,0,-1,78,3,9,11,19,1209,6,1,0,0,0,0
16,17,15,11,3,-1,169,0,3,11,19,1343,6,1,1,0,0,0
10,17,13,17,7,5,75,0,1,10,19,899,3,12,0,0,0,0
14,17,14,17,7,0,0,0,0,10,3,611,12,6,0,0,0,0
16,17,13,17,9,0,152,0,1,11,2,1440,2,8,0,0,0,0
14,17,14,17,7,2346,46,6,8,13,19,599,10,4,0,0,0,0
15,16,15,16,0,5,49,9,0,12,19,943,2,5,0,0,0,0
16,17,15,17,4,6,166,0,0,11,19,1403,3,4,0,0,0,0
15,16,14,16,0,-1,29,8,8,13,19,452,9,2,0,0,0,0
14,17,13,17,2,6,158,7,8,11,11,63,12,1,0,0,0,0
14,11,14,15,0,2,15,3,9,13,19,740,9,1,0,0,0,0
16,11,13,10,0,1588,98,2,9,11,19,1040,7,1,1,0,0,0
16,17,15,13,4,-2,76,7,9,11,19,1451,11,1,0,0,0,0
14,17,13,17,2,0,95,4,9,14,19,1191,6,1,1,0,0,0
16,11,17,17,7,1423,168,0,1,11,19,941,7,3,1,0,41,0
16,17,13,17,0,0,170,0,9,11,19,1381,6,1,1,0,0,0
14,17,14,17,7,5,164,3,1,13,19,513,5,3,0,0,0,0
10,17,13,17,2,8,146,7,9,11,19,138,9,1,0,0,0,0
15,16,15,16,0,4,50,9,4,11,19,188,7,1,1,0,0,0
10,11,13,15,9,1373,47,9,1,12,19,861,1,7,0,0,0,0
10,11,13,11,0,7,167,9,7,11,19,945,7,1,1,0,101,1
16,11,13,15,0,1258,167,0,1,13,19,1148,7,2,0,0,0,0
16,11,13,12,0,346,132,0,0,13,19,954,5,5,0,0,0,0
16,17,13,17,4,-2,81,0,0,11,19,330,10,2,0,0,0,0
15,16,13,16,0,0,17,9,8,12,19,309,9,3,0,0,0,0
14,11,14,15,0,1,97,3,2,13,19,1090,11,1,1,0,68,1
16,17,13,11,0,2342,44,0,9,11,19,1347,6,1,1,0,0,0
14,17,14,17,0,2876,17,9,9,13,19,826,19,1,0,0,0,0
14,17,14,17,2,-1,90,0,0,13,16,580,3,2,0,0,0,0
16,11,15,10,4,-1,98,9,6,11,19,1360,2,2,0,0,0,0
13,17,14,17,1,4,15,0,0,13,11,602,3,6,0,0,0,0
14,17,14,17,2,-1,97,7,2,14,19,490,10,3,0,0,0,0
13,11,14,10,2,1,15,2,8,12,19,216,9,2,0,0,0,0
15,13,13,10,0,-1,97,9,9,14,19,1265,6,2,1,0,0,0
14,17,13,17,5,5,53,9,6,13,19,860,10,1,0,0,0,0
14,17,13,15,0,2748,215,0,0,13,19,947,7,1,0,0,0,0
16,17,15,17,4,1,170,9,6,11,19,266,6,2,0,0,0,0
11,17,13,17,3,1,98,0,9,10,19,1413,6,1,1,0,0,0
10,17,13,17,7,5,54,2,1,11,3,966,2,7,0,0,0,0
16,16,13,15,0,1268,44,3,1,11,19,983,19,1,0,0,0,0
14,17,14,17,2,3,106,4,9,14,19,597,9,3,0,0,0,0
15,16,13,10,0,-1,97,9,9,11,19,1200,6,1,1,0,0,0
10,17,13,11,7,932,42,0,6,11,19,910,15,5,0,0,0,1
14,17,13,17,3,362,198,0,7,13,19,1233,7,1,1,0,0,0
15,16,15,16,0,-3,167,0,9,11,19,223,6,1,1,0,0,0
14,17,14,17,2,0,22,2,9,10,19,545,6,1,0,0,0,0
14,17,13,11,0,2933,139,8,2,11,19,485,10,1,0,0,0,0
16,17,13,17,2,2273,131,3,9,13,19,589,7,1,1,0,0,0
14,15,14,15,0,4,16,3,9,14,19,870,9,1,0,0,0,0
15,16,15,16,0,3,165,9,1,11,19,1324,6,1,1,0,0,0
15,11,15,15,0,3,52,9,9,11,19,207,6,1,1,0,0,0
14,17,14,11,0,-3,157,0,9,11,11,618,11,1,1,0,99,1
10,17,13,17,7,3,215,0,1,11,16,967,3,4,0,0,0,0
14,17,14,17,0,1589,12,0,4,13,19,544,7,1,1,0,0,0
14,10,14,17,9,6,215,0,0,14,19,1271,6,1,1,0,0,0
14,17,13,17,7,6,110,7,9,11,19,105,1,1,0,0,0,0
14,17,13,11,7,-1,163,5,8,11,2,915,14,1,0,0,0,0
14,17,14,10,0,1,100,3,9,10,19,517,6,1,1,0,0,0
16,17,13,17,4,2639,139,0,0,12,19,953,10,5,0,0,0,0
14,11,14,17,0,2,158,6,9,13,19,629,10,1,0,0,0,1
14,11,14,11,0,842,145,3,1,13,19,536,19,1,0,0,20,1
13,17,13,11,7,16,134,2,8,11,19,903,10,7,0,0,102,1
14,17,14,17,7,4,144,3,9,11,19,598,19,1,0,0,0,0
14,11,14,10,0,3,57,3,9,14,19,510,6,1,1,0,0,0
14,17,14,17,2,1,217,8,7,12,19,208,2,3,0,0,0,0
11,15,15,10,0,6,167,0,9,11,19,1388,6,1,1,0,0,0
16,15,15,13,0,8,166,0,1,11,19,1017,10,1,0,0,0,0
10,17,14,17,2,0,73,0,1,10,19,1223,2,23,0,0,0,0
14,17,14,17,7,2689,229,3,1,13,19,501,14,4,0,0,0,0
10,17,13,17,0,461,168,0,1,11,19,999,7,1,1,0,0,0
14,15,14,17,0,0,32,8,9,13,19,288,9,2,0,0,0,0
14,17,14,17,0,2353,19,3,9,13,19,576,18,1,1,0,0,0
14,17,14,17,2,3,93,0,9,10,19,1215,6,1,1,0,0,0
14,17,13,17,2,3,115,7,2,11,19,547,11,1,0,0,20,1
13,17,13,13,0,2176,169,0,9,11,19,546,6,1,1,0,0,0
10,17,13,11,3,911,168,0,9,11,19,946,7,1,1,0,0,0
13,15,15,10,0,4,169,9,1,11,19,203,13,1,1,0,0,0
13,10,14,10,0,2242,52,0,9,13,19,552,7,1,1,0,0,0
10,17,13,11,3,4,56,9,2,11,19,975,10,1,0,0,0,0
14,11,14,17,7,2990,17,6,6,13,19,557,14,3,0,0,0,0
16,16,15,16,0,7,166,9,1,11,19,349,16,3,0,0,0,0
10,17,16,17,7,6,19,0,0,10,16,881,2,9,0,0,0,0
16,15,17,17,4,915,169,9,1,11,19,953,14,1,0,0,0,0
16,15,10,13,0,1606,49,9,9,11,19,227,7,1,1,0,0,0
15,16,13,16,0,3,98,7,9,14,19,135,19,1,0,0,0,0
16,17,13,10,7,1981,45,3,1,11,19,946,6,4,0,0,0,0
14,17,14,17,7,2687,137,0,9,13,19,523,7,1,1,0,20,1
14,11,13,17,2,3,11,7,9,12,19,57,9,1,0,0,0,0
16,17,13,17,7,2,79,0,0,13,19,220,2,3,0,0,0,0
14,16,14,15,0,2540,16,6,9,13,19,1370,20,2,0,0,0,0
14,11,14,17,3,3079,218,0,0,13,19,321,7,2,0,0,0,0
11,17,13,17,2,-2,98,1,1,11,11,1416,6,1,0,0,0,0
15,16,11,16,0,2,36,9,4,11,19,1334,6,1,1,0,0,0
14,15,14,17,7,464,198,0,9,13,19,564,7,1,0,0,0,0
16,17,13,17,7,5,77,0,0,11,16,1122,3,8,0,0,0,0
15,16,15,16,0,1583,165,9,1,11,19,1356,6,1,1,0,0,0
16,17,13,17,2,1,72,0,0,10,19,882,3,13,0,0,0,0
16,15,15,13,0,-8,169,0,9,11,19,251,6,1,1,0,0,0
15,11,13,15,0,3,12,9,1,12,19,816,10,3,0,0,0,0
15,15,15,10,0,1584,168,3,1,11,19,1302,19,1,0,0,0,0
14,11,14,10,0,2838,46,6,9,13,19,664,15,1,0,0,0,0
14,17,14,17,7,843,-7,0,0,13,19,575,11,8,0,0,0,0
11,17,15,17,4,0,168,0,9,11,19,1430,6,1,1,0,0,0
15,16,14,15,0,6,5,9,9,13,19,913,2,5,0,0,0,0
14,11,14,10,0,1695,168,6,9,13,19,591,7,1,1,0,0,0
16,17,13,17,2,0,5,0,1,12,19,78,2,5,0,0,0,0
16,17,15,17,4,1,167,9,9,11,19,1389,10,1,0,0,0,0
14,17,14,17,2,0,56,9,9,11,19,1281,6,1,0,0,0,0
14,17,14,17,7,0,76,0,0,10,3,595,5,5,0,0,0,0
14,11,14,10,0,2339,97,0,9,13,19,1294,7,1,1,0,0,0
15,16,11,16,0,3,43,9,1,11,19,811,7,1,1,0,0,0
16,17,13,17,7,1215,169,0,6,11,19,16,7,1,1,0,0,0
14,17,17,11,0,0,96,3,1,11,19,568,6,1,1,0,0,0
16,15,15,10,0,1094,166,0,1,11,19,1353,7,1,1,0,0,0
15,16,10,10,0,2380,41,3,9,11,19,1219,10,1,0,0,0,0
15,16,10,16,0,1,46,9,6,11,19,363,6,1,1,0,0,0
10,17,13,17,9,599,205,0,0,13,19,1014,7,3,0,0,0,0
16,17,13,17,4,6,168,7,6,13,19,334,9,2,0,0,0,0
10,17,13,17,2,3,17,9,9,11,16,154,1,1,0,0,0,0
11,17,13,17,3,0,97,0,2,11,19,167,10,1,1,0,40,1
15,11,10,10,0,2469,47,9,9,11,19,375,7,1,1,0,0,0
14,17,14,17,7,4,215,3,6,13,19,543,14,1,0,0,77,1
10,17,15,11,4,7,80,9,1,11,19,1363,1,9,0,0,0,0
16,17,13,17,7,10,220,0,0,13,19,989,3,5,0,0,0,0
16,17,13,11,8,2578,133,2,1,11,19,929,7,1,1,0,101,1
14,11,13,15,8,2462,137,3,2,13,19,538,10,4,0,0,0,0
14,17,13,17,7,482,169,0,0,13,19,601,11,1,0,0,0,0
14,17,14,17,2,1,20,2,9,13,19,224,3,3,0,0,0,0
15,16,11,16,0,-1,42,9,1,11,19,888,7,1,1,0,0,0
16,17,13,17,7,-1,152,0,2,11,19,780,13,11,0,0,0,0
10,11,15,11,0,6,56,9,1,11,19,1333,6,1,0,0,0,0
15,15,11,15,0,9,62,9,1,12,19,886,1,5,0,0,0,0
14,17,13,17,2,3,92,7,9,10,19,58,9,3,0,0,0,0
14,17,14,17,0,2790,186,6,9,13,19,590,17,1,0,0,0,0
10,17,13,17,7,2893,168,9,1,11,19,942,10,4,0,0,0,0
14,17,13,17,7,-1,96,0,9,11,19,613,7,1,1,0,0,0
16,17,15,17,2,2,93,0,9,12,19,379,2,2,0,0,0,0
10,16,15,13,0,2972,48,9,1,11,19,1351,7,1,1,0,0,0
16,11,13,10,0,-1,96,5,9,14,19,1207,6,1,1,0,0,0
16,17,16,17,7,8,18,0,6,13,19,1125,2,5,0,0,0,0
14,17,14,17,8,2,63,2,8,11,19,491,10,5,0,0,80,1
14,17,14,17,7,2783,217,0,0,13,19,620,19,4,0,0,0,0
14,17,14,17,0,1,144,6,8,13,19,498,10,1,1,0,70,1
14,11,14,13,0,2276,49,3,9,11,19,541,7,1,1,0,0,0
14,17,14,17,5,2,43,0,9,13,19,583,10,1,0,0,0,0
16,17,14,17,9,110,130,0,0,13,19,817,7,1,0,0,0,0
11,17,15,17,4,3,48,0,1,11,11,1401,18,1,1,0,0,0
15,16,15,16,0,4,46,9,1,11,19,1330,6,1,1,0,0,0
14,11,14,11,0,7,61,6,9,12,19,526,9,1,0,0,0,0
14,11,14,13,0,2504,30,6,9,13,19,564,11,1,1,0,0,0
10,17,15,17,7,0,169,0,1,11,19,1424,7,1,0,0,0,0
16,17,13,17,2,0,107,7,9,10,19,107,1,1,0,0,0,0
10,11,15,11,0,2463,47,9,7,11,19,1324,7,1,1,0,0,0
16,11,13,11,4,985,168,8,1,11,19,930,10,5,0,0,0,0
10,17,13,17,2,-1,110,7,9,10,19,1481,6,1,0,0,0,0
15,16,15,16,0,1,168,9,1,11,19,1354,6,1,1,0,0,0
10,17,14,17,7,2635,149,0,7,13,19,841,5,3,0,0,0,0
14,17,14,17,7,4,78,0,1,13,19,514,11,1,0,0,0,0
15,16,12,16,0,4,97,9,1,14,19,448,6,2,1,0,0,0
16,17,13,17,2,4,78,0,0,11,19,595,6,1,0,0,0,0
16,17,17,17,7,512,217,0,1,13,19,952,7,1,0,0,0,0
14,11,13,15,0,8,56,6,9,13,19,774,19,1,1,0,0,0
11,17,15,12,0,0,168,0,1,11,19,1354,6,1,1,0,0,0
16,17,13,17,4,2075,170,0,1,11,19,943,7,1,0,0,0,0
14,17,17,10,3,2,98,0,9,11,19,60,6,1,1,0,0,0
16,17,13,17,5,3,21,9,9,13,19,848,2,6,0,0,0,0
16,17,13,17,2,2,10,0,0,12,16,860,3,5,0,0,0,0
16,17,13,11,9,3322,164,0,7,11,19,222,12,3,0,0,101,1
14,17,14,17,0,1566,215,6,9,13,19,546,19,1,0,0,0,0
10,17,13,11,7,2699,37,0,9,11,19,954,7,1,1,0,101,1
14,17,14,17,8,2,-3,7,6,12,19,844,1,14,0,0,0,0
14,17,13,12,2,8,16,3,5,13,19,119,3,15,0,0,0,0
14,17,13,17,7,-2,67,0,4,10,11,633,5,1,0,0,0,0
16,17,13,11,4,11,168,8,1,11,19,944,10,8,0,0,0,0
14,17,14,17,0,2,95,0,5,12,19,521,6,1,1,0,77,1
11,17,13,17,3,0,98,2,9,11,19,1387,6,1,1,0,0,0
14,17,14,17,7,1,21,0,1,13,11,525,15,1,0,0,20,1
14,17,13,17,7,3104,152,9,1,13,19,916,13,5,0,0,0,0
14,17,13,13,0,2,98,0,9,11,19,280,6,1,1,0,0,0
14,11,14,10,0,1,100,0,9,14,19,1295,6,1,1,0,0,0
14,15,14,16,0,16,23,0,0,13,19,907,2,3,0,0,0,0
15,16,11,16,0,-1,96,9,5,14,19,1355,6,2,1,0,0,0
14,17,13,17,2,2,138,7,9,13,19,561,9,1,0,0,0,0
14,17,14,17,3,1797,162,6,9,13,19,591,7,1,1,0,0,0
14,17,14,11,7,2658,220,0,6,13,19,494,7,16,0,0,0,0
14,11,14,10,0,5,32,6,9,12,19,640,6,1,0,0,0,0
11,17,13,17,5,2,56,7,9,12,19,809,9,2,0,0,0,0
14,17,13,11,3,2692,169,3,9,11,19,951,18,1,0,0,0,0
16,17,13,17,2,2,78,0,2,11,16,1415,11,1,0,0,0,0
16,11,13,17,7,781,167,0,7,11,19,913,7,1,1,0,0,0
14,17,14,17,7,6,132,0,2,13,19,495,11,6,0,0,0,0
16,17,13,17,2,-2,52,0,9,11,19,335,7,1,1,0,0,0
13,17,13,17,2,0,167,0,0,13,19,1104,10,1,0,0,0,0
15,16,15,16,0,2286,34,9,1,11,19,1456,7,1,1,0,0,0
10,17,13,17,2,4,76,0,1,11,19,57,4,8,0,0,0,0
13,17,15,17,7,3,72,0,0,13,16,845,2,5,0,0,0,0
14,17,14,17,2,0,17,8,9,13,19,597,11,3,0,0,0,0
14,17,14,17,0,3,32,3,8,13,19,105,2,7,0,0,0,0
14,11,13,17,3,3128,166,0,8,11,19,919,7,1,1,0,0,0
15,15,10,16,0,3,15,9,6,12,19,359,5,2,0,0,0,0
14,11,15,10,0,859,169,3,1,11,19,193,7,1,0,0,0,0
11,17,15,11,0,2,169,0,9,11,19,1349,6,1,1,0,0,0
14,11,14,15,0,2804,15,3,9,13,19,1164,7,1,0,0,0,0
16,17,13,17,7,5,78,0,0,12,16,875,2,1,0,0,0,0
14,17,14,11,7,420,61,0,9,11,19,542,8,1,1,0,0,0
15,16,11,16,0,-1,96,0,9,11,19,406,6,2,1,0,0,0
15,16,15,16,0,4,170,9,1,11,19,1322,6,1,1,0,0,0
15,16,11,15,9,2287,169,9,0,11,19,233,7,17,0,0,0,0
15,16,15,16,0,2305,167,9,1,11,19,1340,6,1,1,0,0,0
16,17,13,17,9,1969,166,0,0,11,19,957,8,1,0,0,0,0
14,11,14,17,7,2,17,3,8,13,19,596,16,1,0,0,0,0
14,17,14,17,2,1,18,7,9,13,19,827,2,3,0,0,0,0
14,11,14,12,0,2802,14,3,4,13,19,1254,7,2,1,0,0,0
14,17,14,17,3,-1,98,6,9,14,19,575,6,1,1,0,0,0
14,17,14,11,7,2402,48,3,1,13,19,972,11,1,0,0,0,0
14,17,14,17,2,5,96,0,5,13,19,320,10,2,0,0,0,0
14,17,14,17,7,2239,76,0,0,13,16,641,15,1,0,0,0,0
16,17,13,17,9,4,168,0,1,11,19,966,7,1,0,0,0,0
14,17,13,17,7,2,149,0,5,11,19,541,7,1,1,0,0,0
14,11,14,17,7,2007,218,0,1,13,19,1147,14,2,0,0,0,0
16,17,13,17,1,1,79,0,0,13,19,302,3,3,0,0,0,0
16,17,13,15,8,1409,137,0,6,11,19,969,7,1,1,0,0,0
14,17,14,17,2,3,99,0,9,12,19,1089,6,1,1,0,0,0
15,11,13,15,0,10,56,9,8,11,19,198,19,1,0,0,0,0
14,17,14,15,2,0,111,0,9,10,19,891,6,1,0,0,0,0
15,15,15,11,4,6,167,0,0,11,2,1387,3,4,0,0,0,0
14,11,14,15,0,2574,30,6,9,13,19,1274,11,2,0,0,0,0
16,11,15,10,0,2593,167,9,6,11,19,885,7,8,1,0,99,0
14,17,13,17,0,3,169,0,1,11,19,506,7,1,1,0,102,1
14,17,14,17,7,861,44,0,5,13,19,618,15,3,0,0,0,0
14,17,14,17,0,2830,35,6,9,13,19,578,20,1,0,0,0,0
14,11,14,17,0,-1,94,6,9,10,19,522,6,1,1,0,73,1
16,10,15,12,0,315,167,0,1,11,19,885,6,1,1,0,0,0
14,17,13,17,5,4,22,7,9,12,19,825,1,1,0,0,0,0
14,15,14,10,0,2,100,0,9,13,19,1330,6,1,1,0,0,0
16,17,13,17,0,1221,171,0,1,11,19,249,6,1,1,0,0,0
14,17,13,17,2,-1,71,0,9,10,16,646,17,1,0,0,0,0
14,17,14,17,2,2,93,7,9,10,19,529,11,1,0,0,0,0
11,17,13,17,4,2,169,0,9,11,19,1392,2,2,0,0,0,0
14,17,14,17,2,0,100,7,9,14,19,553,6,2,0,0,0,0
15,16,10,16,0,4,51,9,0,12,19,278,6,1,1,0,0,0
10,17,13,17,7,896,73,0,1,11,19,993,3,5,0,0,0,0
10,17,13,11,7,6,169,9,8,11,19,136,12,1,0,0,0,0
16,17,13,11,0,2626,167,9,1,11,19,1368,10,1,0,0,0,0
14,17,14,10,5,3,99,7,9,11,19,1157,6,1,1,0,0,0
15,16,15,16,0,2445,168,0,6,11,19,231,7,1,1,0,0,0
14,17,14,17,2,0,99,7,9,10,19,493,6,1,1,0,0,0
16,17,13,17,2,1646,105,0,9,13,19,143,7,1,0,0,0,0
14,11,14,11,0,601,145,6,8,13,19,511,11,1,0,0,0,1
15,16,14,16,0,3,95,4,6,14,19,1444,6,1,1,0,0,0
15,16,15,16,0,791,166,0,1,11,19,1423,6,1,1,0,0,0
14,17,13,17,7,8,160,0,3,13,19,254,4,5,0,0,0,0
14,17,14,17,2,-2,5,0,6,13,3,524,2,7,0,0,0,0
10,17,15,17,4,3,50,0,4,11,19,1372,10,9,0,0,0,0
10,17,13,17,2,2545,76,7,6,11,19,79,13,1,0,0,0,0
15,16,15,16,0,4,42,0,1,11,19,1352,6,1,1,0,0,0
14,17,14,17,2,4,44,0,6,13,19,586,14,3,0,0,0,0
15,16,15,16,0,1251,213,9,7,11,19,97,19,1,0,0,0,0
10,17,13,17,2,3,45,2,8,11,11,944,1,3,0,0,102,1
14,11,14,15,0,4,46,6,9,13,19,666,3,5,0,0,0,0
10,17,13,13,0,4,45,0,9,11,19,551,6,1,1,0,0,0
10,11,13,11,0,10,50,9,1,11,19,979,18,1,0,0,0,0
10,17,13,11,7,7,54,0,1,11,19,981,3,6,0,0,0,0
16,15,15,13,0,-7,169,0,1,11,19,316,6,1,1,0,0,0
11,17,13,11,2,5,58,9,9,11,19,274,10,2,0,0,0,0
14,17,14,17,0,2833,143,0,5,13,19,296,7,2,1,0,0,0
15,11,12,16,0,-1,95,4,9,14,19,1318,6,1,1,0,0,0
14,17,14,17,2,-1,96,6,9,13,19,526,6,1,1,0,0,0
14,17,14,17,2,2,100,0,9,10,19,612,6,1,1,0,0,0
10,17,13,17,2,823,16,7,9,13,19,138,9,1,0,0,0,0
16,15,10,15,0,2880,168,0,1,13,19,971,7,1,1,0,0,0
10,11,13,11,0,946,45,6,1,11,19,917,7,1,0,0,100,1
10,17,13,17,2,2432,149,7,9,11,19,85,14,1,0,0,0,0
14,17,13,17,2,-2,97,2,9,11,19,1090,6,1,1,0,0,0
13,17,13,17,7,929,152,0,1,11,19,1413,13,1,0,0,0,0
16,17,13,17,2,1,70,7,9,10,11,40,1,1,0,0,0,0
10,11,13,15,7,799,168,3,6,13,19,302,10,3,0,0,0,0
14,17,13,17,5,5,129,4,2,11,19,217,10,3,0,0,0,0
16,17,15,15,4,1677,169,0,1,11,16,1442,2,6,0,0,0,0
14,17,14,17,0,-1,102,3,9,13,19,574,14,1,1,0,0,0
14,11,14,11,0,-2,45,0,9,11,19,1198,6,1,1,0,0,0
10,17,13,17,7,5,168,3,6,11,19,981,11,1,0,0,0,0
16,17,14,17,3,535,14,0,9,13,19,1144,7,3,1,0,0,0
16,17,13,17,2,4,169,7,1,11,19,220,7,1,1,0,0,0
11,17,13,17,1,502,170,0,1,11,11,1071,7,1,0,0,0,0
13,11,13,15,0,0,51,9,6,13,19,240,13,4,0,0,0,0
