,Unnamed: 0,Accuracy,AUC,F1,Recall,Precision,AP,TPR,FPR,TNR,FNR
175,holdout_TVAE_2_LR,0.994,0.967,0.953,0.91,1.0,0.937,0.91,0.0,1.0,0.09
176,holdout_TVAE_2_DT,0.981,0.949,0.871,0.913,0.833,0.766,0.913,0.014,0.986,0.087
177,holdout_TVAE_2_KNN,0.985,0.912,0.876,0.78,1.0,0.833,0.78,0.0,1.0,0.22
178,holdout_TVAE_2_NB,0.994,0.966,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
179,holdout_TVAE_2_SVM,0.994,0.961,0.952,0.908,1.0,0.933,0.908,0.0,1.0,0.092
180,holdout_TVAE_2_RF,0.994,0.962,0.954,0.914,0.997,0.93,0.914,0.0,1.0,0.086
181,holdout_TVAE_2_XGB,0.994,0.963,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
182,training_TVAE_3_LR,0.994,0.969,0.955,0.914,1.0,0.939,0.914,0.0,1.0,0.086
183,training_TVAE_3_DT,0.98,0.95,0.865,0.914,0.821,0.757,0.914,0.015,0.985,0.086
184,training_TVAE_3_KNN,0.985,0.911,0.879,0.784,1.0,0.829,0.784,0.0,1.0,0.216
185,training_TVAE_3_NB,0.994,0.965,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
186,training_TVAE_3_SVM,0.994,0.964,0.954,0.911,1.0,0.933,0.911,0.0,1.0,0.089
187,training_TVAE_3_RF,0.994,0.962,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
188,training_TVAE_3_XGB,0.994,0.964,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
189,holdout_TVAE_3_LR,0.994,0.967,0.953,0.91,1.0,0.937,0.91,0.0,1.0,0.09
190,holdout_TVAE_3_DT,0.981,0.95,0.872,0.914,0.833,0.768,0.914,0.014,0.986,0.086
191,holdout_TVAE_3_KNN,0.985,0.914,0.88,0.785,1.0,0.836,0.785,0.0,1.0,0.215
192,holdout_TVAE_3_NB,0.994,0.967,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
193,holdout_TVAE_3_SVM,0.994,0.963,0.952,0.908,1.0,0.934,0.908,0.0,1.0,0.092
194,holdout_TVAE_3_RF,0.994,0.96,0.954,0.914,0.997,0.93,0.914,0.0,1.0,0.086
195,holdout_TVAE_3_XGB,0.994,0.962,0.954,0.914,0.998,0.936,0.914,0.0,1.0,0.086
196,training_TVAE_4_LR,0.994,0.968,0.955,0.914,1.0,0.939,0.914,0.0,1.0,0.086
197,training_TVAE_4_DT,0.981,0.951,0.869,0.916,0.827,0.763,0.916,0.014,0.986,0.084
198,training_TVAE_4_KNN,0.985,0.911,0.879,0.784,1.0,0.83,0.784,0.0,1.0,0.216
199,training_TVAE_4_NB,0.994,0.966,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
200,training_TVAE_4_SVM,0.994,0.962,0.954,0.911,1.0,0.932,0.911,0.0,1.0,0.089
201,training_TVAE_4_RF,0.994,0.968,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
202,training_TVAE_4_XGB,0.994,0.962,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
203,holdout_TVAE_4_LR,0.994,0.967,0.953,0.91,1.0,0.937,0.91,0.0,1.0,0.09
204,holdout_TVAE_4_DT,0.98,0.95,0.866,0.914,0.823,0.759,0.914,0.015,0.985,0.086
205,holdout_TVAE_4_KNN,0.985,0.916,0.882,0.788,1.0,0.837,0.788,0.0,1.0,0.212
206,holdout_TVAE_4_NB,0.994,0.967,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
207,holdout_TVAE_4_SVM,0.993,0.963,0.951,0.907,1.0,0.934,0.907,0.0,1.0,0.093
208,holdout_TVAE_4_RF,0.994,0.962,0.954,0.914,0.997,0.932,0.914,0.0,1.0,0.086
209,holdout_TVAE_4_XGB,0.994,0.963,0.954,0.914,0.998,0.936,0.914,0.0,1.0,0.086
210,training_TVAE_5_LR,0.994,0.968,0.954,0.913,1.0,0.939,0.913,0.0,1.0,0.087
211,training_TVAE_5_DT,0.979,0.95,0.858,0.917,0.806,0.745,0.917,0.017,0.983,0.083
212,training_TVAE_5_KNN,0.985,0.911,0.878,0.783,1.0,0.831,0.783,0.0,1.0,0.217
213,training_TVAE_5_NB,0.994,0.966,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
214,training_TVAE_5_SVM,0.994,0.962,0.954,0.911,1.0,0.932,0.911,0.0,1.0,0.089
215,training_TVAE_5_RF,0.994,0.962,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
216,training_TVAE_5_XGB,0.994,0.965,0.954,0.914,0.997,0.935,0.914,0.0,1.0,0.086
217,holdout_TVAE_5_LR,0.994,0.967,0.953,0.91,1.0,0.937,0.91,0.0,1.0,0.09
218,holdout_TVAE_5_DT,0.978,0.949,0.855,0.914,0.804,0.741,0.914,0.017,0.983,0.086
219,holdout_TVAE_5_KNN,0.985,0.915,0.881,0.787,1.0,0.837,0.787,0.0,1.0,0.213
220,holdout_TVAE_5_NB,0.994,0.967,0.955,0.914,1.0,0.937,0.914,0.0,1.0,0.086
221,holdout_TVAE_5_SVM,0.993,0.963,0.951,0.907,1.0,0.934,0.907,0.0,1.0,0.093
222,holdout_TVAE_5_RF,0.994,0.961,0.954,0.914,0.997,0.929,0.914,0.0,1.0,0.086
223,holdout_TVAE_5_XGB,0.994,0.965,0.954,0.914,0.997,0.938,0.914,0.0,1.0,0.086
224,training_DS_1_LR,0.994,0.969,0.955,0.914,1.0,0.94,0.914,0.0,1.0,0.086
225,training_DS_1_DT,0.984,0.952,0.887,0.914,0.861,0.793,0.914,0.011,0.989,0.086
226,training_DS_1_KNN,0.984,0.912,0.869,0.768,1.0,0.826,0.768,0.0,1.0,0.232
227,training_DS_1_NB,0.994,0.966,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
228,training_DS_1_SVM,0.994,0.964,0.954,0.911,1.0,0.934,0.911,0.0,1.0,0.089
229,training_DS_1_RF,0.994,0.961,0.955,0.914,1.0,0.931,0.914,0.0,1.0,0.086
230,training_DS_1_XGB,0.994,0.962,0.954,0.914,0.998,0.935,0.914,0.0,1.0,0.086
231,holdout_DS_1_LR,0.994,0.967,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
232,holdout_DS_1_DT,0.984,0.952,0.889,0.914,0.865,0.796,0.914,0.011,0.989,0.086
233,holdout_DS_1_KNN,0.984,0.91,0.867,0.765,1.0,0.829,0.765,0.0,1.0,0.235
234,holdout_DS_1_NB,0.994,0.967,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
235,holdout_DS_1_SVM,0.993,0.962,0.951,0.907,1.0,0.933,0.907,0.0,1.0,0.093
236,holdout_DS_1_RF,0.994,0.962,0.954,0.914,0.997,0.93,0.914,0.0,1.0,0.086
237,holdout_DS_1_XGB,0.994,0.963,0.954,0.914,0.998,0.935,0.914,0.0,1.0,0.086
238,training_DS_2_LR,0.994,0.967,0.955,0.914,1.0,0.938,0.914,0.0,1.0,0.086
239,training_DS_2_DT,0.982,0.952,0.88,0.917,0.846,0.781,0.917,0.013,0.987,0.083
240,training_DS_2_KNN,0.984,0.913,0.873,0.775,1.0,0.83,0.775,0.0,1.0,0.225
241,training_DS_2_NB,0.994,0.965,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
242,training_DS_2_SVM,0.994,0.963,0.954,0.911,1.0,0.933,0.911,0.0,1.0,0.089
243,training_DS_2_RF,0.994,0.959,0.955,0.914,1.0,0.931,0.914,0.0,1.0,0.086
244,training_DS_2_XGB,0.994,0.96,0.955,0.914,1.0,0.932,0.914,0.0,1.0,0.086
245,holdout_DS_2_LR,0.994,0.965,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
246,holdout_DS_2_DT,0.984,0.952,0.892,0.914,0.871,0.802,0.914,0.01,0.99,0.086
247,holdout_DS_2_KNN,0.984,0.912,0.87,0.77,1.0,0.832,0.77,0.0,1.0,0.23
248,holdout_DS_2_NB,0.994,0.966,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
